Index	Var	Importance
26	RAVER1Linfo	0.911593614718615
10	U2Linfo	0.676542207792208
14	U4ataLinfo	0.658143939393939
42	TIA1Linfo	0.635416666666667
1	CA150Linfo	0.622429653679654
19	CUGBPLinfo	0.62202380952381
2	FBP11Linfo	0.621888528138528
38	SRSF4Linfo	0.620806277056277
43	TRA2ALinfo	0.617424242424242
33	SND1Linfo	0.594899891774892
9	U12Linfo	0.579342532467532
30	SAM68TV1Linfo	0.57521645021645
13	U4Linfo	0.573660714285714
23	nSR100Linfo	0.559456168831169
36	SRSF10Linfo	0.558982683982684
20	ESRP1Linfo	0.558306277056277
34	SRM160Linfo	0.552489177489177
11	U2AF1Linfo	0.551339285714286
37	SRSF3Linfo	0.526447510822511
16	U6Linfo	0.513392857142857
6	SF3BTV2Linfo	0.50974025974026
4	RBM22Linfo	0.497700216450216
28	RBM3Linfo	0.483089826839827
24	PSFLinfo	0.478016774891775
17	U6atacLinfo	0.47652867965368
39	SRSF5Linfo	0.470576298701299
29	RBM45Linfo	0.469291125541126
41	SRFSF9Linfo	0.46584145021645
40	SRSF6Linfo	0.446969696969697
32	SKIPLinfo	0.443114177489177
18	CELF4Linfo	0.442505411255411
7	U1Linfo	0.439867424242424
5	SF3BTV1Linfo	0.436958874458874
3	PRP8Linfo	0.43648538961039
31	SC35Linfo	0.427624458874459
44	TRA2BLinfo	0.427556818181818
22	NOVA1Linfo	0.414434523809524
8	U11Linfo	0.411593614718615
25	PTBLinfo	0.402123917748918
35	SRSF1Linfo	0.386769480519481
12	UA2F2Linfo	0.38575487012987
15	U5Linfo	0.377637987012987
27	RBM17Linfo	0.354437229437229
21	MAGOHLinfo	0.285579004329004
