ID,NumberAtts,Atts,metricOpt
4,7,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono,0.946153846153846
8,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono nSR100Mono,0.938461538461538
5,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono SRSF3Mono,0.907692307692308
6,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono U4Mono,0.888461538461538
2,6,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono,0.876923076923077
7,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono RBM17Mono,0.865384615384615
1,6,U1Mono SRM160Mono SRSF10Mono SND1Mono U6atacMono nSR100Mono,0.861538461538462
9,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono U4ataMono,0.861538461538462
10,8,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono TRA2AMono RAVER1Mono,0.861538461538462
3,7,SF3BTV2Mono SF3BTV1Mono RBM22Mono TRA2BMono RBM3Mono U6Mono PSFMono,0.857692307692308
