Number-Atts,Number-Significant,Atts,AUC
3,0,UA2F2Mono NOVA1Mono U4ataMono,0.875
4,0,UA2F2Mono NOVA1Mono U4ataMono PSFMono,0.875
5,0,UA2F2Mono NOVA1Mono U4ataMono PSFMono U6Mono,0.875
6,0,UA2F2Mono NOVA1Mono U4ataMono PSFMono U6Mono CUGBPMon,0.875
7,0,SRSF6Mono NOVA1Mono U4ataMono U6atacMono RBM22Mono SRSF5Mono UA2F2Mono,0.875
6,0,RBM22Mono NOVA1Mono U4ataMono CA150Mono U2AF1Mono PSFMono,0.8472222222222221
7,0,RBM22Mono NOVA1Mono U4ataMono CA150Mono U2AF1Mono PSFMono RBM17Mono,0.8472222222222221
8,0,RBM22Mono NOVA1Mono U4ataMono CA150Mono U2AF1Mono PSFMono RBM17Mono UA2F2Mono,0.8472222222222221
3,0,U1Mono NOVA1Mono U4ataMono,0.8472222222222221
4,0,U1Mono NOVA1Mono U4ataMono RAVER1Mono,0.8472222222222221
3,0,nSR100Mono NOVA1Mono U4ataMono,0.8472222222222221
2,0,CA150Mono NOVA1Mono,0.8333333333333334
3,0,CA150Mono NOVA1Mono SRSF1Mono,0.8333333333333334
4,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono,0.8333333333333334
5,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono,0.8333333333333334
6,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono SRSF10Mono,0.8333333333333334
7,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono SRSF10Mono MAGOHMono,0.8333333333333334
8,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono SRSF10Mono MAGOHMono PSFMono,0.8333333333333334
9,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono SRSF10Mono MAGOHMono PSFMono RBM17Mono,0.8333333333333334
10,0,CA150Mono NOVA1Mono SRSF1Mono ESRP2Mono U2AF1Mono SRSF10Mono MAGOHMono PSFMono RBM17Mono SRSF3Mono,0.8333333333333334
2,0,SRSF1Mono NOVA1Mono,0.8333333333333334
3,0,SRSF1Mono NOVA1Mono ESRP2Mono,0.8333333333333334
4,0,SRSF1Mono NOVA1Mono ESRP2Mono U2AF1Mono,0.8333333333333334
5,0,SRSF1Mono NOVA1Mono ESRP2Mono U2AF1Mono SRSF10Mono,0.8333333333333334
6,0,SRSF1Mono NOVA1Mono ESRP2Mono U2AF1Mono SRSF10Mono CUGBPMon,0.8333333333333334
7,0,SRSF1Mono NOVA1Mono ESRP2Mono U2AF1Mono SRSF10Mono CUGBPMon SC35Mono,0.8333333333333334
3,0,ESRP2Mono NOVA1Mono CA150Mono,0.8333333333333334
4,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono,0.8333333333333334
5,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono,0.8333333333333334
6,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono,0.8333333333333334
7,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono,0.8333333333333334
8,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono RBM22Mono,0.8333333333333334
9,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono RBM22Mono RBM17Mono,0.8333333333333334
10,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono RBM22Mono RBM17Mono RAVER1Mono,0.8333333333333334
11,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono RBM22Mono RBM17Mono RAVER1Mono SRSF5Mono,0.8333333333333334
12,0,ESRP2Mono NOVA1Mono CA150Mono U2AF1Mono PSFMono SRSF4Mono U6atacMono RBM22Mono RBM17Mono RAVER1Mono SRSF5Mono U1Mono,0.8333333333333334
3,0,U2AF1Mono NOVA1Mono CA150Mono,0.8333333333333334
4,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono,0.8333333333333334
5,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono,0.8333333333333334
6,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono TRA2AMono,0.8333333333333334
7,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono TRA2AMono MAGOHMono,0.8333333333333334
8,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono TRA2AMono MAGOHMono PSFMono,0.8333333333333334
9,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono TRA2AMono MAGOHMono PSFMono SRSF4Mono,0.8333333333333334
10,0,U2AF1Mono NOVA1Mono CA150Mono SRSF1Mono SRSF10Mono TRA2AMono MAGOHMono PSFMono SRSF4Mono RBM22Mono,0.8333333333333334
