ID,NumberAtts,Atts,metricOpt
50,4,U4ataMono NOVA1Mono U6Mono SRSF4Mono,0.923611111111111
54,5,U4ataMono NOVA1Mono U6Mono SRSF4Mono U4Mono,0.916666666666667
67,5,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono,0.916666666666667
65,4,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono,0.909722222222222
53,5,U4ataMono NOVA1Mono U6Mono SRSF4Mono ESRP2Mono,0.90625
10,5,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono,0.902777777777778
70,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono U11Mono,0.902777777777778
26,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SKIPMono,0.899305555555556
23,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono nSR100Mono,0.895833333333333
35,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SRSF6Mono,0.895833333333333
44,3,U4ataMono NOVA1Mono U6Mono,0.895833333333333
5,4,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono,0.892361111111111
2,3,MAGOHMono U4ataMono NOVA1Mono,0.888888888888889
16,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono TRA2AMono,0.888888888888889
17,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SRSF1Mono,0.888888888888889
20,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SRM160Mono,0.888888888888889
8,5,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono TRA2BMono,0.885416666666667
49,4,U4ataMono NOVA1Mono U6Mono SRM160Mono,0.885416666666667
9,5,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono U6atacMono,0.881944444444444
14,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SRSF5Mono,0.881944444444444
18,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono CA150Mono,0.881944444444444
21,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono RAVER1Mono,0.881944444444444
33,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono RBM45Mono,0.881944444444444
34,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono FBP11Mono,0.881944444444444
42,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono SRSF10Mono,0.881944444444444
62,3,NOVA1Mono U6Mono SRM160Mono,0.881944444444444
68,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono U4Mono,0.881944444444444
76,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono ESRP1Mono,0.881944444444444
79,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono SRSF10Mono,0.881944444444444
46,4,U4ataMono NOVA1Mono U6Mono U6atacMono,0.878472222222222
69,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono U5Mono,0.878472222222222
1,2,MAGOHMono U4ataMono,0.875
6,5,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono SRFSF9Mono,0.875
7,5,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono SC35Mono,0.875
28,6,MAGOHMono U4ataMono NOVA1Mono SRSF3Mono PRP8Mono ESRP2Mono,0.875
57,2,NOVA1Mono U6Mono,0.875
59,3,NOVA1Mono U6Mono U6atacMono,0.875
66,5,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono SKIPMono,0.875
73,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono FBP11Mono,0.875
74,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono SRSF6Mono,0.875
77,6,NOVA1Mono U6Mono SRM160Mono SF3BTV1Mono ESRP2Mono U2AF1Mono,0.875
