Index	Var	Importance
21	MAGOHMono	0.974848484848485
14	U4ataMono	0.744393939393939
22	NOVA1Mono	0.735984848484848
16	U6Mono	0.658939393939394
24	PSFMono	0.641590909090909
37	SRSF3Mono	0.627272727272727
41	SRFSF9Mono	0.62
31	SC35Mono	0.612651515151515
44	TRA2BMono	0.609015151515152
17	U6atacMono	0.603181818181818
3	PRP8Mono	0.583106060606061
27	RBM17Mono	0.577727272727273
25	PTBMono	0.573333333333333
42	TIA1Mono	0.57219696969697
39	SRSF5Mono	0.568257575757576
33	SND1Mono	0.5625
43	TRA2AMono	0.554242424242424
35	SRSF1Mono	0.541893939393939
1	CA150Mono	0.538787878787879
6	SF3BTV2Mono	0.528409090909091
34	SRM160Mono	0.525378787878788
26	RAVER1Mono	0.52530303030303
38	SRSF4Mono	0.521590909090909
23	nSR100Mono	0.517878787878788
5	SF3BTV1Mono	0.511969696969697
9	U12Mono	0.49
32	SKIPMono	0.485151515151515
30	SAM68TV1Mono	0.475833333333333
19	ESRP2Mono	0.457878787878788
13	U4Mono	0.435075757575758
15	U5Mono	0.420454545454545
8	U11Mono	0.409090909090909
12	UA2F2Mono	0.393030303030303
29	RBM45Mono	0.391893939393939
2	FBP11Mono	0.385757575757576
40	SRSF6Mono	0.381742424242424
7	U1Mono	0.37530303030303
4	RBM22Mono	0.364090909090909
20	ESRP1Mono	0.359848484848485
11	U2AF1Mono	0.34530303030303
18	CUGBPMon	0.343484848484849
28	RBM3Mono	0.330606060606061
36	SRSF10Mono	0.318106060606061
10	U2Mono	0.306893939393939
