Number-Atts,Number-Significant,Atts,AUC
5,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono,0.8928571428571429
6,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono,0.8928571428571429
7,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono UA2F2Mono,0.8928571428571429
8,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono UA2F2Mono SRSF5Mono,0.8928571428571429
7,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono,0.8928571428571429
8,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono FBP11Mono,0.8928571428571429
9,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono FBP11Mono CUGBPMon,0.8928571428571429
10,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono FBP11Mono CUGBPMon SRM160Mono,0.8928571428571429
11,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono FBP11Mono CUGBPMon SRM160Mono SND1Mono,0.8928571428571429
12,0,U1Mono SF3BTV1Mono NOVA1Mono U11Mono SRSF1Mono ESRP2Mono U2AF1Mono FBP11Mono CUGBPMon SRM160Mono SND1Mono UA2F2Mono,0.8928571428571429
6,0,SND1Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono U1Mono,0.8928571428571429
7,0,SND1Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono U1Mono RBM22Mono,0.8928571428571429
8,0,SND1Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono U1Mono RBM22Mono SRFSF9Mono,0.8928571428571429
9,0,SND1Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono U1Mono RBM22Mono SRFSF9Mono TRA2AMono,0.8928571428571429
10,0,SND1Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono U1Mono RBM22Mono SRFSF9Mono TRA2AMono SRSF5Mono,0.8928571428571429
4,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono,0.8928571428571429
5,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono,0.8928571428571429
6,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono SRFSF9Mono,0.8928571428571429
7,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono SRFSF9Mono RBM3Mono,0.8928571428571429
8,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono SRFSF9Mono RBM3Mono U4Mono,0.8928571428571429
9,0,UA2F2Mono SF3BTV1Mono CA150Mono U11Mono U2AF1Mono SRFSF9Mono RBM3Mono U4Mono SND1Mono,0.8928571428571429
13,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono,0.8571428571428571
14,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono,0.8571428571428571
15,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono RBM3Mono,0.8571428571428571
16,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono RBM3Mono U5Mono,0.8571428571428571
17,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono RBM3Mono U5Mono SRSF4Mono,0.8571428571428571
18,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono RBM3Mono U5Mono SRSF4Mono SAM68TV1Mono,0.8571428571428571
19,0,U11Mono SF3BTV1Mono SRSF1Mono ESRP2Mono U2AF1Mono RBM45Mono SRSF3Mono U1Mono U6Mono FBP11Mono PTBMono SRSF10Mono nSR100Mono SRFSF9Mono RBM3Mono U5Mono SRSF4Mono SAM68TV1Mono SND1Mono,0.8571428571428571
2,0,ESRP2Mono SF3BTV1Mono,0.8571428571428571
3,0,ESRP2Mono SF3BTV1Mono U11Mono,0.8571428571428571
4,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono,0.8571428571428571
6,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono PTBMono,0.8571428571428571
6,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono nSR100Mono,0.8571428571428571
7,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono U4Mono,0.8571428571428571
7,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono SRM160Mono,0.8571428571428571
7,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono SND1Mono,0.8571428571428571
7,0,ESRP2Mono SF3BTV1Mono U11Mono U1Mono U6Mono SRFSF9Mono SF3BTV2Mono,0.8571428571428571
6,0,U2AF1Mono SF3BTV1Mono U11Mono SRSF10Mono nSR100Mono TRA2AMono,0.8571428571428571
7,0,U2AF1Mono SF3BTV1Mono U11Mono SRSF10Mono nSR100Mono TRA2AMono PRP8Mono,0.8571428571428571
8,0,U2AF1Mono SF3BTV1Mono U11Mono SRSF10Mono nSR100Mono TRA2AMono PRP8Mono U2Mono,0.8571428571428571
6,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono,0.8571428571428571
7,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono,0.8571428571428571
8,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono,0.8571428571428571
9,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono RBM3Mono,0.8571428571428571
10,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono RBM3Mono SRSF4Mono,0.8571428571428571
11,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono RBM3Mono SRSF4Mono U6atacMono,0.8571428571428571
12,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono RBM3Mono SRSF4Mono U6atacMono TIA1Mono,0.8571428571428571
13,0,RBM45Mono SF3BTV1Mono CA150Mono NOVA1Mono U11Mono PTBMono SRSF10Mono SRFSF9Mono RBM3Mono SRSF4Mono U6atacMono TIA1Mono SAM68TV1Mono,0.8571428571428571
