ID,NumberAtts,Atts,metricOpt
45,4,MAGOHMono SRFSF9Mono RBM3Mono SKIPMono,0.908163265306122
28,11,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono,0.885204081632653
44,3,MAGOHMono SRFSF9Mono RBM3Mono,0.880102040816326
34,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono U2Mono,0.877551020408163
27,10,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono,0.875
31,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono SRSF5Mono,0.872448979591837
8,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono PSFMono,0.86734693877551
11,10,CA150Mono ESRP2Mono RBM45Mono SRSF3Mono RBM17Mono MAGOHMono U1Mono SRSF10Mono PSFMono SKIPMono,0.86734693877551
22,7,ESRP2Mono RBM45Mono SRSF3Mono MAGOHMono RBM22Mono SRFSF9Mono SKIPMono,0.86734693877551
30,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono ESRP1Mono,0.86734693877551
35,3,RBM45Mono SRSF3Mono MAGOHMono,0.86734693877551
43,2,MAGOHMono SRFSF9Mono,0.86734693877551
9,6,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono PSFMono SKIPMono,0.864795918367347
1,4,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono,0.862244897959184
4,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono U5Mono,0.862244897959184
6,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono CUGBPMon,0.862244897959184
7,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono PRP8Mono,0.862244897959184
18,6,ESRP2Mono RBM45Mono SRSF3Mono MAGOHMono RBM22Mono SRFSF9Mono,0.862244897959184
21,7,ESRP2Mono RBM45Mono SRSF3Mono MAGOHMono RBM22Mono SRFSF9Mono PSFMono,0.862244897959184
23,8,ESRP2Mono RBM45Mono SRSF3Mono MAGOHMono RBM22Mono SRFSF9Mono SKIPMono SRSF5Mono,0.862244897959184
37,3,SRSF3Mono MAGOHMono SRFSF9Mono,0.862244897959184
41,1,MAGOHMono,0.862244897959184
32,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono TRA2BMono,0.85969387755102
38,4,SRSF3Mono MAGOHMono SRFSF9Mono RBM3Mono,0.85969387755102
42,2,MAGOHMono U6Mono,0.85969387755102
2,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono RAVER1Mono,0.857142857142857
3,5,SF3BTV1Mono CA150Mono NOVA1Mono MAGOHMono SRFSF9Mono,0.857142857142857
17,5,ESRP2Mono RBM45Mono SRSF3Mono MAGOHMono RBM22Mono,0.857142857142857
26,9,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono,0.857142857142857
29,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono SF3BTV2Mono,0.857142857142857
33,12,U2AF1Mono RBM45Mono SRSF3Mono MAGOHMono FBP11Mono RBM22Mono SRFSF9Mono RBM3Mono U5Mono PSFMono SKIPMono SC35Mono,0.857142857142857
39,4,SRSF3Mono MAGOHMono SRFSF9Mono SRSF6Mono,0.857142857142857
40,4,SRSF3Mono MAGOHMono SRFSF9Mono SKIPMono,0.857142857142857
10,9,CA150Mono ESRP2Mono RBM45Mono SRSF3Mono RBM17Mono MAGOHMono U1Mono SRSF10Mono PSFMono,0.854591836734694
