Number-Atts,Number-Significant,Atts,AUC
5,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon,0.8421052631578948
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono,0.8421052631578948
7,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono,0.8421052631578948
12,0,CUGBPMon SND1Mono U2AF1Mono PTBMono U6atacMono RBM3Mono SRFSF9Mono PRP8Mono SRSF3Mono SRSF1Mono RAVER1Mono FBP11Mono,0.8421052631578948
9,0,nSR100Mono SND1Mono CA150Mono U6Mono CUGBPMon PTBMono RBM3Mono SRFSF9Mono PRP8Mono,0.8421052631578948
4,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon PTBMono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon TIA1Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon U6atacMono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon PRP8Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon SRSF3Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon ESRP2Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RBM17Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon SRSF4Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon SC35Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon SF3BTV2Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon U2Mono,0.8157894736842105
6,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon UA2F2Mono,0.8157894736842105
7,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono MAGOHMono,0.8157894736842105
7,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono TRA2BMono,0.8157894736842105
7,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono SRSF5Mono,0.8157894736842105
8,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono U4Mono,0.8157894736842105
8,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono SRSF10Mono,0.8157894736842105
8,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono U5Mono,0.8157894736842105
8,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono TRA2AMono,0.8157894736842105
8,0,SND1Mono CA150Mono NOVA1Mono U2AF1Mono CUGBPMon RAVER1Mono U1Mono FBP11Mono,0.8157894736842105
7,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono,0.8157894736842105
8,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono,0.8157894736842105
9,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono,0.8157894736842105
10,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono,0.8157894736842105
11,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono SRFSF9Mono,0.8157894736842105
12,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono SRFSF9Mono PRP8Mono,0.8157894736842105
13,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono SRFSF9Mono PRP8Mono RBM17Mono,0.8157894736842105
14,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono SRFSF9Mono PRP8Mono RBM17Mono SRSF4Mono,0.8157894736842105
15,0,CA150Mono NOVA1Mono U2AF1Mono SRM160Mono U6Mono CUGBPMon PTBMono TIA1Mono U6atacMono RBM3Mono SRFSF9Mono PRP8Mono RBM17Mono SRSF4Mono U2Mono,0.8157894736842105
