Index	Var	Importance
33	SND1Mono	0.712886072261072
1	CA150Mono	0.705528846153846
22	NOVA1Mono	0.703125
11	U2AF1Mono	0.692344114219114
34	SRM160Mono	0.689066142191142
16	U6Mono	0.680980477855478
18	CUGBPMon	0.660875582750583
25	PTBMono	0.650604603729604
42	TIA1Mono	0.635744463869464
17	U6atacMono	0.633923368298368
28	RBM3Mono	0.604057400932401
41	SRFSF9Mono	0.597355769230769
3	PRP8Mono	0.589998543123543
37	SRSF3Mono	0.589270104895105
19	ESRP2Mono	0.57965472027972
27	RBM17Mono	0.572807400932401
4	RBM22Mono	0.547239219114219
38	SRSF4Mono	0.532087703962704
30	SAM68TV1Mono	0.510598776223776
31	SC35Mono	0.509069055944056
6	SF3BTV2Mono	0.50324155011655
10	U2Mono	0.49981789044289
14	U4ataMono	0.483937937062937
12	UA2F2Mono	0.475488053613054
9	U12Mono	0.47199155011655
35	SRSF1Mono	0.461429195804196
26	RAVER1Mono	0.458879662004662
21	MAGOHMono	0.442854020979021
23	nSR100Mono	0.434112762237762
44	TRA2BMono	0.430616258741259
39	SRSF5Mono	0.426245629370629
7	U1Mono	0.423841783216783
13	U4Mono	0.419908216783217
5	SF3BTV1Mono	0.418159965034965
8	U11Mono	0.40643210955711
36	SRSF10Mono	0.405120920745921
15	U5Mono	0.403226981351981
43	TRA2AMono	0.403154137529138
20	ESRP1Mono	0.400240384615385
32	SKIPMono	0.394485722610723
29	RBM45Mono	0.393757284382284
40	SRSF6Mono	0.358865093240093
24	PSFMono	0.303503787878788
2	FBP11Mono	0.283471736596737
