Index	Var	Importance
27	SND1Neutro	0.719141604010025
8	U11Neutro	0.680529448621554
1	CA150Neutro	0.660009398496241
11	U2AF1Neutro	0.637139724310777
30	SRSF10Neutro	0.62703634085213
22	RBM3Neutro	0.619517543859649
37	TRA2ANeutro	0.618890977443609
28	SRM160Neutro	0.618186090225564
21	RBM17Neutro	0.612468671679198
16	CUGBPNeutro	0.610432330827068
29	SRSF1Neutro	0.590695488721805
14	U5Neutro	0.584508145363409
34	SRSF6Neutro	0.573543233082707
7	U1Neutro	0.566494360902256
35	SRFSF9Neutro	0.56203007518797
32	SRSF4Neutro	0.56015037593985
3	PRP8Neutro	0.556939223057644
15	U6Neutro	0.545582706766917
17	ESRP1Neutro	0.538377192982456
19	NOVA1Neutro	0.53156328320802
5	SF3BTV1Neutro	0.523182957393484
31	SRSF3Neutro	0.513549498746867
33	SRSF5Neutro	0.482456140350877
24	SAM68TV1Neutro	0.474154135338346
38	TRA2BNeutro	0.471177944862155
23	RBM45Neutro	0.467731829573935
2	FBP11Neutro	0.438988095238095
13	U4Neutro	0.417919799498747
6	SF3BTV2Neutro	0.397008145363409
4	RBM22Neutro	0.393170426065163
10	U2Neutro	0.383302005012531
25	SC35Neutro	0.381422305764411
26	SKIPNeutro	0.380560776942356
18	MAGOHNeutro	0.37218045112782
36	TIA1Neutro	0.370535714285714
9	U12Neutro	0.361058897243108
12	UA2F2Neutro	0.360354010025063
20	PSFNeutro	0.298010651629073
