Index	Var	Importance
30	SRSF10Neutro	0.794166666666667
2	FBP11Neutro	0.744517543859649
25	SC35Neutro	0.738026315789474
37	TRA2ANeutro	0.660482456140351
5	SF3BTV1Neutro	0.639078947368421
6	SF3BTV2Neutro	0.628114035087719
1	CA150Neutro	0.595219298245614
4	RBM22Neutro	0.571359649122807
19	NOVA1Neutro	0.5525
12	UA2F2Neutro	0.543464912280702
13	U4Neutro	0.543201754385965
34	SRSF6Neutro	0.540745614035088
28	SRM160Neutro	0.537938596491228
36	TIA1Neutro	0.533377192982456
24	SAM68TV1Neutro	0.524254385964912
14	U5Neutro	0.516622807017544
10	U2Neutro	0.512149122807018
23	RBM45Neutro	0.508201754385965
3	PRP8Neutro	0.504166666666667
21	RBM17Neutro	0.498728070175439
38	TRA2BNeutro	0.497412280701754
27	SND1Neutro	0.496359649122807
9	U12Neutro	0.486973684210526
20	PSFNeutro	0.480043859649123
35	SRFSF9Neutro	0.4725
11	U2AF1Neutro	0.461008771929825
31	SRSF3Neutro	0.458728070175439
15	U6Neutro	0.448464912280702
29	SRSF1Neutro	0.442412280701754
33	SRSF5Neutro	0.440570175438597
18	MAGOHNeutro	0.432149122807018
7	U1Neutro	0.417412280701754
16	CUGBPNeutro	0.412061403508772
17	ESRP1Neutro	0.407587719298246
22	RBM3Neutro	0.389780701754386
32	SRSF4Neutro	0.381798245614035
26	SKIPNeutro	0.373552631578947
8	U11Neutro	0.314868421052632
