Index	Var	Importance
12	UA2F2Neutro	0.708333333333333
1	CA150Neutro	0.693209316394434
4	RBM22Neutro	0.69010889292196
21	RBM17Neutro	0.6662129461585
31	SRSF3Neutro	0.642316999395039
28	SRM160Neutro	0.622882637628554
29	SRSF1Neutro	0.619404113732607
17	ESRP1Neutro	0.609800362976406
6	SF3BTV2Neutro	0.602843315184513
30	SRSF10Neutro	0.580384150030248
32	SRSF4Neutro	0.57403206291591
2	FBP11Neutro	0.565260133091349
3	PRP8Neutro	0.563445251058681
9	U12Neutro	0.562689050211736
8	U11Neutro	0.556336963097399
20	PSFNeutro	0.543557168784029
18	MAGOHNeutro	0.54189352692075
36	TIA1Neutro	0.541061705989111
13	U4Neutro	0.526996370235935
16	CUGBPNeutro	0.515350877192982
15	U6Neutro	0.507864488808227
19	NOVA1Neutro	0.494857834240774
24	SAM68TV1Neutro	0.493194192377495
5	SF3BTV1Neutro	0.489942528735632
11	U2AF1Neutro	0.445856019358742
22	RBM3Neutro	0.432017543859649
25	SC35Neutro	0.428765880217786
14	U5Neutro	0.424682395644283
38	TRA2BNeutro	0.417952208106473
10	U2Neutro	0.415986085904416
33	SRSF5Neutro	0.413263762855414
23	RBM45Neutro	0.411600120992135
37	TRA2ANeutro	0.392316999395039
35	SRFSF9Neutro	0.384452510586812
7	U1Neutro	0.38241076830006
34	SRSF6Neutro	0.354506957047792
27	SND1Neutro	0.35178463399879
26	SKIPNeutro	0.332425892316999
