Number-Atts,Number-Significant,Atts,AUC
6,2,ESRP2 NOVA1 SAM68TV1 CELF4 TRA2B U4atac,0.8801775147928994
9,2,U2AF1 NOVA1 SRSF9 RAVER1 PRP8 U12 ESRP2 SND1 FBP11,0.8757396449704142
8,2,U2AF1 NOVA1 SRSF9 RAVER1 PRP8 U12 ESRP2 SND1,0.8727810650887574
8,4,SRSF6 NOVA1 U6 RAVER1 SRSF5 PRP8 ESRP2 U4,0.8698224852071006
7,2,U2AF1 NOVA1 SRSF9 RAVER1 PRP8 U12 ESRP2,0.8698224852071006
9,4,SRSF6 NOVA1 U6 RAVER1 SRSF5 PRP8 ESRP2 U4 FBP11,0.8668639053254437
9,2,U2AF1 NOVA1 SRSF9 RAVER1 PRP8 U12 ESRP2 SND1 CA150,0.8668639053254437
7,2,ESRP2 NOVA1 SAM68TV1 CELF4 TRA2B U4atac RBM3,0.8668639053254437
9,4,SRSF6 NOVA1 U6 RAVER1 SRSF5 PRP8 ESRP2 U4 CA150,0.8653846153846154
9,2,RBM45 NOVA1 SRSF9 CELF4 ESRP2 SND1 SKIP RBM3 SRM160,0.863905325443787
10,2,RBM45 NOVA1 SRSF9 CELF4 ESRP2 SND1 SKIP RBM3 SRM160 CA150,0.863905325443787
11,2,RBM45 NOVA1 SRSF9 CELF4 ESRP2 SND1 SKIP RBM3 SRM160 CA150 MAGOH,0.863905325443787
9,4,SRSF6 NOVA1 U6 RAVER1 SRSF5 PRP8 ESRP2 U4 RBM3,0.8624260355029586
9,2,U2AF1 NOVA1 SRSF9 RAVER1 PRP8 U12 ESRP2 SND1 SRM160,0.8624260355029586
5,1,SKIP NOVA1 RAVER1 SC35 PRP8,0.8624260355029586
9,4,SRSF6 NOVA1 U6 RAVER1 SRSF5 PRP8 ESRP2 U4 SKIP,0.8609467455621301
8,2,RBM45 NOVA1 SRSF9 CELF4 ESRP2 SND1 SKIP RBM3,0.8609467455621301
5,2,ESRP2 NOVA1 SAM68TV1 CELF4 TRA2B,0.8609467455621301
7,1,RBM17 NOVA1 RAVER1 PRP8 SRSF6 PSF TRA2A,0.8594674556213018
6,1,SKIP NOVA1 RAVER1 SC35 PRP8 U2AF2,0.8594674556213018
6,1,SRM160 NOVA1 RAVER1 CUGBP PRP8 PSF,0.8594674556213018
7,3,ESRP2 NOVA1 SAM68TV1 CELF4 TRA2B U4atac U4,0.8579881656804734
6,1,RBM17 NOVA1 RAVER1 PRP8 SRSF6 PSF,0.856508875739645
