Number-Atts,Number-Significant,Atts,AUC
13,3,TRA2B NOVA1 SRSF9 RAVER1 SRSF5 SC35 nSR100 CUGBP U2AF1 U4atac RBM45 ESRP2 SKIP,0.9363905325443788
12,3,TRA2B NOVA1 SRSF9 RAVER1 SRSF5 SC35 nSR100 CUGBP U2AF1 U4atac RBM45 ESRP2,0.9349112426035503
10,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B,0.9326923076923077
14,3,TRA2B NOVA1 SRSF9 RAVER1 SRSF5 SC35 nSR100 CUGBP U2AF1 U4atac RBM45 ESRP2 SKIP TIA1,0.9260355029585798
11,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B SKIP,0.9238165680473374
11,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B FBP11,0.9230769230769231
11,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B RBM3,0.9208579881656804
12,2,U2AF2 NOVA1 SRSF9 RAVER1 SC35 CUGBP SRSF10 U2AF1 TRA2B U4atac RBM45 RBM22,0.9201183431952663
11,3,TRA2B NOVA1 SRSF9 RAVER1 SRSF5 SC35 nSR100 CUGBP U2AF1 U4atac RBM45,0.9193786982248521
11,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B ESRP2,0.9186390532544378
8,2,TRA2A NOVA1 SRSF9 RAVER1 SC35 CUGBP U2AF1 TRA2B,0.9178994082840237
13,2,U2AF2 NOVA1 SRSF9 RAVER1 SC35 CUGBP SRSF10 U2AF1 TRA2B U4atac RBM45 RBM22 ESRP2,0.9178994082840237
11,3,SRSF4 NOVA1 SRSF9 SC35 U11 SRSF6 CELF4 SRSF1 U2AF1 TRA2B SF3BTV2,0.91715976331 36095
12,3,TRA2B NOVA1 SRSF9 RAVER1 SRSF5 SC35 nSR100 CUGBP U2AF1 U4atac RBM45 SRSF4,0.9134615384615384
12,2,RBM45 NOVA1 SRSF9 RAVER1 SC35 U2 SRSF6 U2AF1 TRA2B SF3BTV1 ESRP2 U2AF2,0.9134615384615384
14,4,SRSF1 NOVA1 SRSF9 RAVER1 SRSF5 SC35 U11 PRP8 SRSF6 U2AF1 TRA2B U4atac RBM45 SF3BTV2,0.9127218934911243
9,2,TRA2A NOVA1 SRSF9 RAVER1 SC35 CUGBP U2AF1 TRA2B U6atac,0.9127218934911243
