Number-Atts,Number-Significant,Atts,AUC
3,3,U4 NOVA1 SRSF5,0.8002958579881658
2,2,U6 NOVA1,0.7958579881656804
2,2,SAM68TV1 NOVA1,0.7958579881656804
2,2,U4 NOVA1,0.7958579881656804
2,2,SRSF1 NOVA1,0.7943786982248521
3,3,SAM68TV1 NOVA1 SRSF5,0.7928994082840237
3,3,U4 NOVA1 SRSF9,0.7899408284023669
4,4,U4 NOVA1 SRSF5 SRSF1,0.7855029585798816
2,2,NOVA1 SRSF9,0.7810650887573964
3,3,NOVA1 SRSF9 U6,0.7781065088757396
3,3,U6 NOVA1 SRSF5,0.7781065088757396
2,2,SRSF5 NOVA1,0.7781065088757396
3,3,SAM68TV1 NOVA1 SRSF9,0.7781065088757396
3,3,SAM68TV1 NOVA1 U6,0.7781065088757396
3,3,SRSF1 NOVA1 U6,0.7781065088757396
3,3,U4 NOVA1 U6,0.7766272189349113
3,3,SRSF1 NOVA1 SRSF5,0.772189349112426
3,3,SRSF5 NOVA1 SRSF9,0.7692307692307693
3,3,SRSF1 NOVA1 SRSF9,0.7677514792899408
2,2,SRSF9 U6,0.75
