Number-Atts,Number-Significant,Atts,AUC
2,0,U2AF1 SC35,0.9939393939393938
3,0,U2AF1 SC35 U4atac,0.9939393939393938
4,0,U2AF1 SC35 U4atac TIA1,0.9939393939393938
5,0,U2AF1 SC35 U4atac TIA1 U2AF2,0.9939393939393938
6,0,U2AF1 SC35 U4atac TIA1 U2AF2 SF3BTV1,0.9939393939393938
7,0,U2AF1 SC35 U4atac TIA1 U2AF2 SF3BTV1 ESRP1,0.9939393939393938
8,1,U2AF1 SC35 U4atac TIA1 U2AF2 SF3BTV1 ESRP1 SRSF1,0.9939393939393938
9,2,U2AF1 SC35 U4atac TIA1 U2AF2 SF3BTV1 ESRP1 SRSF1 U6,0.9939393939393938
10,2,U2AF1 SC35 U4atac TIA1 U2AF2 SF3BTV1 ESRP1 SRSF1 U6 RBM17,0.9939393939393938
2,0,U4atac SC35,0.9939393939393938
3,0,U4atac SC35 TIA1,0.9939393939393938
4,1,U4atac SC35 TIA1 NOVA1,0.9939393939393938
5,1,U4atac SC35 TIA1 NOVA1 ESRP1,0.9939393939393938
6,1,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45,0.9939393939393938
7,1,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3,0.9939393939393938
8,1,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3 PTB,0.9939393939393938
9,1,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3 PTB CUGBP,0.9939393939393938
10,2,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3 PTB CUGBP SRSF5,0.9939393939393938
11,2,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3 PTB CUGBP SRSF5 TRA2B,0.9939393939393938
12,3,U4atac SC35 TIA1 NOVA1 ESRP1 RBM45 RBM3 PTB CUGBP SRSF5 TRA2B U4,0.9939393939393938
2,0,U2 SC35,0.9939393939393938
3,0,U2 SC35 U2AF1,0.9939393939393938
4,0,U2 SC35 U2AF1 TIA1,0.9939393939393938
5,0,U2 SC35 U2AF1 TIA1 PSF,0.9939393939393938
6,1,U2 SC35 U2AF1 TIA1 PSF SAM68TV1,0.9939393939393938
7,1,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2,0.9939393939393938
8,1,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12,0.9939393939393938
9,1,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2,0.9939393939393938
10,2,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9,0.9939393939393938
11,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1,0.9939393939393938
12,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1,0.9939393939393938
13,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1,0.9939393939393938
14,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150,0.9939393939393938
15,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1,0.9939393939393938
16,3,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100,0.9939393939393938
17,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6,0.9939393939393938
18,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11,0.9939393939393938
19,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac,0.9939393939393938
20,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3,0.9939393939393938
21,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A,0.9939393939393938
22,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11,0.9939393939393938
23,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11 SRM160,0.9939393939393938
24,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11 SRM160 RBM22,0.9939393939393938
25,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11 SRM160 RBM22 PTB,0.9939393939393938
26,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11 SRM160 RBM22 PTB U5,0.9939393939393938
27,4,U2 SC35 U2AF1 TIA1 PSF SAM68TV1 SF3BTV2 U12 U2AF2 SRSF9 NOVA1 SF3BTV1 ESRP1 CA150 RAVER1 nSR100 U6 FBP11 U6atac RBM3 TRA2A U11 SRM160 RBM22 PTB U5 RBM17,0.9939393939393938
