Number-Atts,Number-Significant,Atts,AUC
3,3,SAM68TV1 NOVA1 SRSF9,0.8076923076923077
2,2,NOVA1 SRSF9,0.7884615384615384
4,4,SAM68TV1 NOVA1 SRSF9 SRSF1,0.7884615384615384
3,3,SRSF1 NOVA1 SRSF9,0.7884615384615384
3,3,SRSF9 U6 SRSF5,0.7692307692307693
2,2,SRSF5 NOVA1,0.7692307692307693
4,4,SAM68TV1 NOVA1 SRSF9 U6,0.7692307692307693
4,4,SRSF1 NOVA1 SRSF9 U6,0.7692307692307693
4,4,SRSF1 NOVA1 SRSF9 SRSF5,0.7692307692307693
3,3,NOVA1 SRSF9 SRSF5,0.75
2,2,U6 NOVA1,0.75
2,2,SAM68TV1 NOVA1,0.75
4,4,SAM68TV1 NOVA1 SRSF9 SRSF5,0.75
4,4,SAM68TV1 NOVA1 SRSF9 U4,0.75
4,4,U4 NOVA1 SRSF9 U6,0.75
