Number-Atts,Number-Significant,Atts,AUC
14,4,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4,0.8461538461538461
15,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1,0.8461538461538461
16,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1 PTB,0.8461538461538461
17,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1 PTB SND1,0.8461538461538461
18,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1 PTB SND1 SRM160,0.8461538461538461
19,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1 PTB SND1 SRM160 U1,0.8461538461538461
20,5,SF3BTV1 NOVA1 SRSF9 U6 RAVER1 SRSF5 SC35 nSR100 CUGBP PRP8 U2 SRSF6 RBM17 CELF4 SRSF1 PTB SND1 SRM160 U1 TRA2A,0.8461538461538461
8,4,SKIP NOVA1 SRSF9 U6 RAVER1 SRSF5 CUGBP SRSF10,0.8461538461538461
3,2,NOVA1 SRSF9 RBM17,0.8269230769230769
4,3,NOVA1 SRSF9 RBM17 SAM68TV1,0.8269230769230769
5,3,NOVA1 SRSF9 RBM17 SAM68TV1 SRSF10,0.8269230769230769
9,3,U6 NOVA1 SC35 U11 nSR100 PRP8 U2 RBM17 SAM68TV1,0.8269230769230769
10,3,U6 NOVA1 SC35 U11 nSR100 PRP8 U2 RBM17 SAM68TV1 CELF4,0.8269230769230769
11,3,U6 NOVA1 SC35 U11 nSR100 PRP8 U2 RBM17 SAM68TV1 CELF4 SRSF10,0.8269230769230769
12,3,U6 NOVA1 SC35 U11 nSR100 PRP8 U2 RBM17 SAM68TV1 CELF4 SRSF10 SF3BTV1,0.8269230769230769
13,3,U6 NOVA1 SC35 U11 nSR100 PRP8 U2 RBM17 SAM68TV1 CELF4 SRSF10 SF3BTV1 RBM3,0.8269230769230769
