Number-Atts,Number-Significant,Atts,AUC
2,0,SKIP U2,1.0
3,0,SKIP U2 U4atac,1.0
4,0,SKIP U2 U4atac SC35,1.0
5,0,SKIP U2 U4atac SC35 U5,1.0
6,0,SKIP U2 U4atac SC35 U5 U2AF1,1.0
7,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150,1.0
8,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF,1.0
9,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11,1.0
10,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1,1.0
11,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1,1.0
12,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2,1.0
13,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100,1.0
14,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12,1.0
15,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1,1.0
16,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11,1.0
17,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP,1.0
18,0,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45,1.0
19,1,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45 U6,1.0
20,1,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45 U6 CELF4,1.0
21,2,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45 U6 CELF4 NOVA1,1.0
22,3,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45 U6 CELF4 NOVA1 SRSF9,1.0
23,3,SKIP U2 U4atac SC35 U5 U2AF1 CA150 PSF FBP11 SF3BTV1 U1 SF3BTV2 nSR100 U12 ESRP1 U11 CUGBP RBM45 U6 CELF4 NOVA1 SRSF9 SRSF3,1.0
