Ca150,Celf4,CUGBP,ESRP1,ESRP2,FBP11,Magoh,Nova1,nSR100,PRP8,PSF,PTB,Raver1,RBM17,RBM22,RBM3,RBM45,Sam68tv1,Sc35,Sf3btv1,SF3btv2,SKIP,SND1,SRM160,SRSF1,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SRSF10,Tia1,Tra2A,Tra2B,U1,U2,U4,U5,U6,U11,U12,U2af2,U6atac
4.512927,0.01137,,240.853725,0.29875,0.049823,0.499348,0.306238,0.198904,0.234498,4.2E-05,0.366621,0.019522,0.17112,0.007132,0.206833,0.001719,0.051967,0.025082,0.657249,0.301344,0.000171,0.238394,1.086825,1.886339,0.520993,0.156758,3.53734,0.074467,1.220099,0.685026,8.072236,0.689058,0.131662,0.416145,1063.245796,57.56,4.413857,7.405114,19.114104,0.347699,0.083679,0.94499
2.491239,0,0.446008,106.585694,1.091257,0.758562,0.914777,0.180591,0.0531,2.202833,0.001936,4.645081,0.75334,0.519986,0.141945,1.919703,0.648637,1.908351,1.747296,29.614334,1.677769,0.002227,2.941554,6.607586,0.916631,2.986868,3.879236,8.006568,0.561016,,2.937747,9.523029,4.883225,2.657528,,3637.912581,63.301469,236.209168,50.707581,61.790647,0.743497,0.640074,0.918967
3.741562,0,0.243186,207.153528,0.464434,0.142113,0.799835,0.07683,0.579423,0.516634,0.000369,0.551253,0.155432,0.027039,0.028525,0.557238,0.183308,0.543452,0.389444,9.967373,0.700549,0.001272,0.512156,2.430861,1.673426,0.603051,0.619454,4.725759,0.071039,2.154453,1.236397,8.686752,2.650359,0.477249,2.56668,3322.532324,49.969527,28.185076,35.647955,68.344564,0.511334,0.121476,0.325854
3.280058,0.007783,0.217444,161.316235,0.300847,0.055949,0.289268,0.09978,0.119552,0.150219,2.7E-05,0.221897,0.041521,0.034612,0.012222,0.226176,0.038385,0.132771,0.062668,1.107022,0.225376,4.4E-05,0.157562,1.497148,1.396959,0.115173,0.12323,2.349014,0.116518,0.593272,0.546198,7.326276,0.810191,0.031431,0.286905,1355.591985,27.091933,3.326012,19.564193,24.883738,0.47893,0.056495,0.377998
2.530905,0,0.082711,129.258106,0.128212,0,0.229627,0.015764,0.086575,0.186209,2E-06,0.087201,0,0.007176,0.000766,0.162547,0.012931,0.052124,0.046973,0.62048,0.137981,0.000111,0.09523,0.768285,1.279377,0.046383,0.226302,1.718669,0.021251,0.567126,0.362073,4.845448,0.264797,0.045329,0.098092,1055.688664,24.636384,0.447259,11.776684,21.599445,0.313036,0.006219,0.098681
4.800045,0,0.407759,225.102891,0.419749,0.051704,0.783586,0.031079,,0.525913,0.000479,0.831761,0.024692,0.120579,0.035567,0.809395,0.187069,0.526608,0.445271,7.210013,1.074886,0.000757,0.700604,3.359931,2.295107,0.733115,1.02286,5.868521,0.155013,4.1452,1.19931,11.612892,3.449399,0.873941,2.975305,3410.653982,57.804573,16.708722,32.363856,69.885507,1.334718,0.09494,0.414711
2.352779,0,0.129301,133.920978,0.421432,0.25827,0.6886,0.125242,0.102183,1.110563,0.000702,1.88816,0.282731,0.174368,0.076501,1.125751,0.334707,1.018273,0.961872,28.803709,0.78927,0.002164,1.564751,3.599257,1.25866,1.071643,1.380712,4.689632,0.157946,10.043811,2.086383,6.484757,3.008618,1.197739,3.630528,4579.658345,51.591573,74.440605,45.689308,57.503996,0.57297,0.203938,0.627573
3.503098,0,0.052381,167.491815,0.248864,0,0.233627,0.011459,0,0.155696,5E-06,0.05636,0.139371,0.012012,0.002997,0.251565,0,0.033083,0.03711,0.284901,0.218319,5.5E-05,0.124191,1.030405,1.690914,0.053858,0.043941,2.469883,0.010683,0.571171,0.510001,8.590879,0.5588,0.023918,0.359151,268.891276,13.177395,2.172942,5.638978,25.721945,0.364024,0.001781,0.071413
4.79549,0.024667,0.233797,234.849342,0.353552,0.008164,0.420554,0.030571,0.152803,0.288982,1.3E-05,0.528617,0.041623,0.047459,0.01472,0.448762,0.051172,0.219667,0.352473,2.359142,0.448773,0.000271,0.256824,1.848185,2.383986,0.179791,0.269321,3.544975,0.051221,1.539639,0.982133,7.988753,0.984876,0.091674,0.331865,1930.118217,50.963874,2.86469,30.286094,53.103876,0.70422,0.041591,0.397921
3.058163,0,0.081327,154.153699,0.362609,0.21888,0.40882,0.055276,0.039361,1.30104,0.002378,1.033832,0.131302,0.065125,0.040638,0.479085,0.230816,0.426443,0.401633,24.225525,0.628895,0.002902,0.71107,1.598687,1.341809,0.416941,0.751026,3.389565,0.065657,2.781517,1.185577,6.257407,2.002513,0.464973,3.561153,2770.172943,40.750688,28.335088,27.150292,44.63182,0.483187,0.078746,0.624482
2.35481,0.005225,0.070439,120.21821,0.174297,0.046542,0.33734,0.083413,0.512591,0.259758,8E-05,0.184004,0.069579,0.022959,0.019467,0.330191,0.034227,0.199405,0.22467,2.324878,0.345769,0.000204,0.161986,1.300154,1.095799,0.160056,0.088795,2.072699,0.037117,1.049995,0.407129,5.189913,0.653613,0.047789,0.313546,3693.932788,54.159012,6.346794,68.38788,66.268625,0.439304,0.050539,0.590792
3.278363,0,0.408442,169.842445,0.325448,0.029176,0.381868,0.071608,0.957194,0.409784,1.5E-05,0.348814,0.026087,0.029444,0.035571,0.280545,0.066565,0.118003,0.057513,1.303697,0.251048,9.7E-05,0.251329,1.565919,1.482361,0.175273,0.20516,2.115633,0.022041,0.796078,0.564699,7.254787,0.898205,0.088383,0.204638,992.193249,37.860223,71.807495,24.926625,24.109153,0.462869,0.020841,0.219129
2.615681,0,0.149147,120.506749,0.861963,0.404468,0.867913,0.072584,1.544816,1.765711,0.001087,2.359667,0.608936,0.270715,0.101373,1.57103,0.330892,1.531902,1.36163,19.855448,1.011245,0.001668,1.915935,4.06511,1.136043,1.582504,1.990221,6.071447,0.212481,12.049068,2.148515,7.526775,3.814994,1.826333,4.865297,4268.314913,55.838107,62.703608,43.574147,77.270838,0.499032,0.276898,0.615075
3.855083,0,0.106902,189.626859,0.428472,0.102925,0.438716,0.022205,0.536771,0.363832,0.000127,0.809578,0.164325,0.058573,0.037522,0.680152,0.154379,0.329696,0.247717,4.259607,0.466316,0.00025,0.78573,2.263612,1.655697,0.499979,0.318476,3.738859,0.034255,2.533963,0.864079,8.18769,1.607281,0.302605,1.162835,1448.903573,37.041038,8.828199,23.225596,49.343457,0.680737,0.077197,0.151377
2.144362,0.068806,0.259257,106.380979,0.484238,0.477149,0.809978,0.376761,0.181912,2.577789,0.001349,4.544522,0.838048,0.383737,0.141949,2.068479,0.485294,2.830715,2.533076,29.560586,1.06674,0.004137,2.015478,5.505775,0.812261,2.718248,3.313528,6.630829,0.321265,16.158884,3.527838,7.502439,4.205661,3.021196,5.862524,3579.403394,53.581346,232.563161,36.211222,73.79496,0.348523,0.478233,0.829402
2.448851,0,0.160032,110.684082,0.53963,0.248593,1.031856,0.170452,0.430479,1.977359,0.001279,3.029545,0.516181,0.202772,0.117346,1.199268,0.417608,1.486916,1.732058,27.68919,1.053169,0.00322,2.11603,4.872163,1.131787,1.881538,2.081718,5.760793,0.223553,15.656577,3.138019,5.751715,2.944235,1.659593,4.400908,5828.250632,66.780879,92.906498,48.385982,72.851955,0.359107,0.398774,0.91223
2.149635,0.024117,0.535761,98.069494,0.436429,0.297778,0.778677,0.1713,0.72334,1.594542,0.00104,2.868012,0.320398,0.288693,0.107338,1.33924,0.384802,1.393336,1.584016,25.250556,0.992247,0.004513,1.299691,4.097093,0.974192,1.295158,1.907374,5.331649,0.337357,10.651754,2.447097,7.110868,3.722154,1.792855,4.851925,4515.694074,48.679997,90.212445,30.665612,69.100234,0.452469,0.279325,0.601811
2.666927,0.02098,0.343038,136.909233,0.242847,0.163999,0.818573,0.428329,0.261946,1.428921,0.001217,2.246812,0.552502,0.143072,0.086287,1.423055,0.431432,1.747895,1.959598,36.098472,1.342668,0.007036,0.468024,4.57745,1.313073,1.09027,2.287668,8.438055,0.107708,7.343023,2.092705,6.560555,4.379074,1.864235,3.968671,5103.041445,43.340452,149.889414,49.921172,147.490125,0.655694,0.28488,0.425733
3.762941,0.023853,0.475296,178.940185,0.679098,0.80946,1.043234,0.34274,0.869655,,0.001113,2.480385,0.46642,0.227697,0.156954,1.711106,0.453909,3.750082,1.470553,26.910121,1.171301,0.005251,3.502716,4.058851,1.773907,1.435625,1.961032,7.551316,0.125045,15.093803,2.786652,8.8986,3.699765,2.025373,5.281434,5781.943677,85.589252,85.500351,70.882935,102.204026,1.434225,0.344347,
3.887656,0,0.250194,200.306227,0.345717,0.033476,0.343559,0.025147,0.031767,0.307931,5E-06,0.181339,0,0.013544,0.020722,0.213943,0.012458,0.040324,0.049653,0.19142,0.375402,8E-06,0.20272,1.203215,1.703781,0.14281,0.25845,2.669213,0.023206,0.42937,0.606756,8.094346,0.843302,0.081296,0.422252,728.692291,21.129345,2.035083,10.036213,30.811069,0.516168,0.013407,0.020432
4.470791,0.048924,0.56451,252.447055,0.575557,0.042021,0.437327,0.143963,1.214929,0.646365,0.000211,0.23642,0.119113,0.053804,0.010833,0.712966,0.173687,0.188789,0.388356,2.670283,0.565791,0.000671,0.511898,2.590075,2.356166,0.264565,0.35408,4.777823,0.058147,2.729597,1.266097,9.800014,2.198931,0.246118,1.173319,1907.225211,41.239108,12.631897,21.159709,55.341021,0.560559,0.041385,0.350264
