Number-Atts,Number-Significant,Atts,AUC
6,4,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1,0.9285714285714286
7,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP,0.9285714285714286
8,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9,0.9285714285714286
9,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1,0.9285714285714286
10,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 Tra2B,0.9285714285714286
9,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 PTB,0.9047619047619048
10,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 RBM45,0.9047619047619048
11,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 Tra2B SRSF10,0.9047619047619048
11,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 Tra2B SND1,0.9047619047619048
11,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB U1 Tra2B SRSF10,0.9047619047619048
6,3,U1 Nova1 ESRP2 Raver1 Sf3btv1 SRSF5,0.9047619047619048
7,3,U1 Nova1 ESRP2 Raver1 Sf3btv1 SRSF5 PTB,0.9047619047619048
6,3,Tra2B Nova1 ESRP2 Raver1 Sf3btv1 SKIP,0.9047619047619048
7,4,Tra2B Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5,0.9047619047619048
8,4,Tra2B Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB,0.9047619047619048
11,3,RBM3 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 PTB Sam68tv1 U1 RBM45,0.9047619047619048
12,3,RBM3 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 PTB Sam68tv1 U1 RBM45 SRSF10,0.9047619047619048
13,3,RBM3 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 PTB Sam68tv1 U1 RBM45 SRSF10 SF3btv2,0.9047619047619048
4,2,ESRP2 Nova1 Raver1 Sf3btv1,0.8809523809523809
5,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP,0.8809523809523809
6,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35,0.8809523809523809
7,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9,0.8809523809523809
8,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB,0.8809523809523809
9,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB Sam68tv1,0.8809523809523809
10,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB Sam68tv1 PSF,0.8809523809523809
11,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB Sam68tv1 PSF RBM45,0.8809523809523809
12,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB Sam68tv1 PSF RBM45 SF3btv2,0.8809523809523809
13,3,ESRP2 Nova1 Raver1 Sf3btv1 SKIP Sc35 SRSF9 PTB Sam68tv1 PSF RBM45 SF3btv2 SND1,0.8809523809523809
7,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 PRP8,0.8809523809523809
8,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP Sc35,0.8809523809523809
9,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 Sam68tv1,0.8809523809523809
11,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 Tra2B RBM3,0.8809523809523809
11,5,SRSF5 Nova1 Celf4 ESRP2 Raver1 Sf3btv1 SKIP SRSF9 U1 Tra2B SRSF4,0.8809523809523809
5,2,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1,0.8809523809523809
6,3,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP,0.8809523809523809
7,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5,0.8809523809523809
8,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB,0.8809523809523809
9,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB U1,0.8809523809523809
10,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB U1 Tra2B,0.8809523809523809
12,4,SRSF9 Nova1 ESRP2 Raver1 Sf3btv1 SKIP SRSF5 PTB U1 Tra2B SRSF10 SND1,0.8809523809523809
5,2,U1 Nova1 ESRP2 Raver1 Sf3btv1,0.8809523809523809
7,3,U1 Nova1 ESRP2 Raver1 Sf3btv1 SRSF5 SRSF9,0.8809523809523809
8,3,U1 Nova1 ESRP2 Raver1 Sf3btv1 SRSF5 PTB SRSF10,0.8809523809523809
8,3,U1 Nova1 ESRP2 Raver1 Sf3btv1 SRSF5 PTB SND1,0.8809523809523809
