Number-Atts,Number-Significant,Atts,AUC
3,1,Celf4 U6atac ESRP2,0.9421768707482995
4,1,Celf4 U6atac ESRP2 SRSF9,0.9399092970521542
4,1,Celf4 U6atac ESRP2 RBM22,0.9342403628117912
4,1,Celf4 U6atac ESRP2 RBM17,0.9331065759637188
8,5,PSF Nova1 Celf4 ESRP2 Raver1 PRP8 SKIP RBM22,0.9319727891156463
4,1,Celf4 U6atac ESRP2 CUGBP,0.9308390022675737
4,2,Celf4 U6atac ESRP2 PRP8,0.9297052154195012
4,1,Celf4 U6atac ESRP2 Sam68tv1,0.9297052154195012
4,1,Celf4 U6atac ESRP2 U1,0.9297052154195012
4,1,Celf4 U6atac ESRP2 SRM160,0.9297052154195012
4,1,Celf4 U6atac ESRP2 nSR100,0.9285714285714286
4,1,Celf4 U6atac ESRP2 RBM45,0.9285714285714286
4,1,Celf4 U6atac ESRP2 SRSF4,0.9285714285714286
7,5,PSF Nova1 Celf4 ESRP2 Raver1 PRP8 SKIP,0.927437641723356
4,1,Celf4 U6atac ESRP2 RBM3,0.9263038548752834
6,4,ESRP2 Nova1 Celf4 Raver1 PRP8 U11,0.9263038548752834
8,5,PSF Nova1 Celf4 ESRP2 Raver1 PRP8 SKIP U11,0.9263038548752834
4,2,Celf4 U6atac ESRP2 Raver1,0.925170068027211
4,1,Celf4 U6atac ESRP2 Magoh,0.925170068027211
4,1,Celf4 U6atac ESRP2 Tia1,0.925170068027211
4,1,Celf4 U6atac ESRP2 U6,0.9240362811791384
4,1,Celf4 U6atac ESRP2 Sf3btv1,0.9240362811791384
4,1,Celf4 U6atac ESRP2 PSF,0.9240362811791384
4,1,Celf4 U6atac ESRP2 SRSF6,0.9240362811791384
4,1,Celf4 U6atac ESRP2 U5,0.9240362811791384
4,1,Celf4 U6atac ESRP2 U12,0.9240362811791384
6,2,FBP11 Nova1 Celf4 U6atac ESRP2 SRSF10,0.9240362811791384
4,1,Celf4 U6atac ESRP2 PTB,0.9229024943310657
4,3,ESRP2 Nova1 Celf4 Raver1,0.9229024943310657
5,4,ESRP2 Nova1 Celf4 Raver1 PRP8,0.9229024943310657
6,2,Sam68tv1 Nova1 Celf4 U6atac ESRP2 U11,0.9229024943310657
4,2,Celf4 U6atac ESRP2 SKIP,0.9217687074829932
4,1,Celf4 U6atac ESRP2 ESRP1,0.9217687074829932
4,1,Celf4 U6atac ESRP2 Ca150,0.9217687074829932
4,1,Celf4 U6atac ESRP2 FBP11,0.9206349206349206
5,3,PSF Nova1 Celf4 ESRP2 Raver1,0.9206349206349206
6,4,PSF Nova1 Celf4 ESRP2 Raver1 PRP8,0.9206349206349206
7,3,ESRP1 Nova1 Celf4 U6atac ESRP2 PRP8 RBM17,0.9206349206349206
5,2,FBP11 Nova1 Celf4 U6atac ESRP2,0.9206349206349206
4,1,Celf4 U6atac ESRP2 Sc35,0.9195011337868481
4,1,Celf4 U6atac ESRP2 U11,0.9195011337868481
4,1,Celf4 U6atac ESRP2 Tra2A,0.9195011337868481
4,1,Celf4 U6atac ESRP2 SND1,0.9195011337868481
7,4,ESRP2 Nova1 Celf4 Raver1 PRP8 U11 RBM45,0.9195011337868481
5,2,Nova1 Celf4 U6atac ESRP2 SRSF9,0.9183673469387754
4,1,Celf4 U6atac ESRP2 U2af2,0.9183673469387754
8,3,U2af2 Nova1 Celf4 U6atac ESRP2 PRP8 RBM17 U12,0.9183673469387754
4,2,PSF Nova1 Celf4 ESRP2,0.9183673469387754
8,3,SRSF6 Nova1 Celf4 U6atac ESRP2 Sf3btv1 PRP8 SRSF4,0.9183673469387754
8,3,Tra2A Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9 PTB,0.9183673469387754
4,1,Celf4 U6atac ESRP2 Tra2B,0.9172335600907028
6,4,ESRP2 Nova1 Celf4 Raver1 PRP8 Sam68tv1,0.9172335600907028
5,2,Sam68tv1 Nova1 Celf4 U6atac ESRP2,0.9172335600907028
9,3,SRM160 Nova1 Celf4 U6atac ESRP2 PRP8 Sam68tv1 Tia1 U5,0.9172335600907028
4,2,Nova1 Celf4 U6atac ESRP2,0.9160997732426304
4,1,Celf4 U6atac ESRP2 U4,0.9160997732426304
6,3,RBM3 Nova1 Celf4 U6atac ESRP2 Raver1,0.9160997732426304
6,3,ESRP1 Nova1 Celf4 U6atac ESRP2 PRP8,0.9160997732426304
8,3,ESRP1 Nova1 Celf4 U6atac ESRP2 PRP8 RBM17 FBP11,0.9160997732426304
4,2,U5 Nova1 Celf4 ESRP2,0.9160997732426304
5,2,U5 Nova1 Celf4 ESRP2 RBM17,0.9160997732426304
4,1,Celf4 U6atac ESRP2 SRSF10,0.9149659863945578
4,1,Celf4 U6atac ESRP2 SF3btv2,0.9149659863945578
6,4,ESRP2 Nova1 Celf4 Raver1 PRP8 Sc35,0.9149659863945578
8,5,PSF Nova1 Celf4 ESRP2 Raver1 PRP8 SKIP RBM17,0.9149659863945578
5,2,ESRP1 Nova1 Celf4 U6atac ESRP2,0.9149659863945578
5,3,Nova1 Celf4 U6atac ESRP2 PRP8,0.9138321995464852
6,4,ESRP2 Nova1 Celf4 Raver1 PRP8 PTB,0.9138321995464852
7,2,Sam68tv1 Nova1 Celf4 U6atac ESRP2 U11 nSR100,0.9138321995464852
7,3,U2af2 Nova1 Celf4 U6atac ESRP2 PRP8 RBM17,0.9138321995464852
8,5,PSF Nova1 Celf4 ESRP2 Raver1 PRP8 SKIP PTB,0.9138321995464852
7,2,RBM17 Nova1 Celf4 U6atac ESRP2 Magoh SRM160,0.9138321995464852
7,3,SRSF6 Nova1 Celf4 U6atac ESRP2 Sf3btv1 PRP8,0.9138321995464852
7,3,ESRP1 Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9,0.9138321995464852
8,3,SF3btv2 Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9 Tra2A,0.9138321995464852
5,3,Nova1 Celf4 U6atac ESRP2 SRSF5,0.9126984126984128
4,2,Celf4 U6atac ESRP2 SRSF5,0.9126984126984128
7,4,ESRP2 Nova1 Celf4 Raver1 PRP8 U11 U2af2,0.9126984126984128
6,2,Sam68tv1 Nova1 Celf4 U6atac ESRP2 U6,0.9126984126984128
7,4,SRSF10 Nova1 Celf4 ESRP2 Raver1 U6 PRP8,0.9126984126984128
8,4,SRSF10 Nova1 Celf4 ESRP2 Raver1 U6 PRP8 Sc35,0.9126984126984128
9,4,SRSF10 Nova1 Celf4 ESRP2 Raver1 U6 PRP8 Sc35 SRSF6,0.9126984126984128
8,3,ESRP1 Nova1 Celf4 U6atac ESRP2 PRP8 RBM17 RBM3,0.9126984126984128
7,3,SF3btv2 Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9,0.9126984126984128
4,1,Celf4 U6atac ESRP2 SRSF1,0.9115646258503401
4,2,Sf3btv1 Nova1 Celf4 ESRP2,0.9115646258503401
11,3,Sc35 Nova1 Celf4 U6atac U2 ESRP2 PRP8 SRSF9 U1 SF3btv2 FBP11,0.9115646258503401
7,2,Sam68tv1 Nova1 Celf4 U6atac ESRP2 U11 SRSF10,0.9115646258503401
6,3,U2af2 Nova1 Celf4 U6atac ESRP2 PRP8,0.9115646258503401
6,3,PSF Nova1 Celf4 ESRP2 Raver1 Sf3btv1,0.9115646258503401
5,2,RBM17 Nova1 Celf4 U6atac ESRP2,0.9115646258503401
6,2,RBM17 Nova1 Celf4 U6atac ESRP2 Magoh,0.9115646258503401
6,2,Tia1 Nova1 Celf4 U6atac ESRP2 ESRP1,0.9115646258503401
8,3,SF3btv2 Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9 PSF,0.9115646258503401
8,3,SF3btv2 Nova1 Celf4 U6atac ESRP2 PRP8 SRSF9 RBM3,0.9115646258503401
7,3,SRM160 Nova1 Celf4 U6atac ESRP2 PRP8 Sam68tv1,0.9115646258503401
8,3,SRM160 Nova1 Celf4 U6atac ESRP2 PRP8 Sam68tv1 Tia1,0.9115646258503401
6,2,Nova1 Celf4 U6atac ESRP2 SRSF9 RBM3,0.9104308390022676
4,1,Celf4 U6atac ESRP2 SRSF3,0.9104308390022676
