Index	Var	Importance
7	Nova1	0.998063114134543
35	U2	0.83082955404384
38	U6	0.716080876795163
19	Sf3btv1	0.672996976568405
33	Tra2B	0.671674225245654
4	ESRP2	0.652683295540438
21	SKIP	0.641439909297052
29	SRSF9	0.603174603174603
17	Sam68tv1	0.580498866213152
12	Raver1	0.580073696145125
26	SRSF4	0.573270975056689
27	SRSF5	0.566279289493575
31	Tia1	0.557020030234316
18	Sc35	0.546485260770975
41	U2af2	0.544926303854875
30	SRSF10	0.532360166288738
9	PRP8	0.529856386999244
6	Magoh	0.524612622826909
25	SRSF3	0.518046107331822
39	U11	0.517526455026455
36	U4	0.505338246409675
2	CUGBP	0.486678004535147
28	SRSF6	0.481103552532124
10	PSF	0.479780801209373
42	U6atac	0.462396069538927
16	RBM45	0.447420634920635
1	Ca150	0.44047619047619
14	RBM22	0.437830687830688
22	SND1	0.436791383219955
32	Tra2A	0.428854875283447
13	RBM17	0.427579365079365
3	ESRP1	0.426256613756614
34	U1	0.397250566893424
20	SF3b.tv2	0.396069538926682
23	SRM160	0.39021164021164
37	U5	0.381897203325775
5	FBP11	0.379913076341648
15	RBM3	0.366496598639456
40	U12	0.362717309145881
11	PTB	0.354450113378685
24	SRSF1	0.343726379440665
8	nSR100	0.308862433862434
