Sample,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
NPDAC02,528706.231378622,273.678762572649,268336.62564717,85726.9677854689,2735.34039300903,489962.947448242,72965.7259704736,173507.856587482,3214.6028708218,1391799.35989899,9264.74002487901,412816.270810275,281188.961194936,753705.622135394,554898.025586857,1075709.99374474,47486.9349646163,1184514.92926352,338522.417902997,125250.954878028,889789.499881041,117325.704620761,519164.706848265,323792.309195017,718.581053022774,1245059.15800517,1140495.81762271,487606.977378906,2676657.05730677,316194.724240083,865240.314957131,55779.4034178427,796075.674851794,462172.188873536,113556141.318268,816037.154580988,1290.66201323827,2971963.30251501,572350.388878333,458715.519212467,311468.876040993,25063.1027590936,30561668.7623402,6198902.20716315,33036.5189800893,N
NPDAC04,5763856.49902914,11822.2563665368,810230.620563134,2487916.65345746,564234.322756692,3028766.14920232,539656.226184323,976084.320417793,13813.4907558678,4034626.46667708,7341.92101328731,1054672.40098667,247928.787993696,1629118.73142116,1475769.99861264,2533757.81102753,133714.454366247,2735801.80240549,475760.706805799,642817.829711998,3266728.79912601,1221381.19366047,2295896.26067747,3193839.16805592,2224.19821661163,2312998.54333446,3222143.35260663,1050911.24851108,5416899.04846574,198933.745631141,2652598.48079207,571670.25011123,4795755.75355587,2440118.07020644,575086155.087509,6768192.81408568,6371.63416501193,17145024.8248937,1904232.3533913,346368.122758339,1045096.16722392,45544.3784295506,30113698.0151661,23787867.8141061,174555.902670332,N
NPDAC06,3171140.5516297,11822.2563665368,655831.237399113,1783756.15975517,603647.101670897,1535389.42754358,450528.751877538,211757.384281242,13813.4907558678,1916648.54695629,506.015713607296,466552.152528878,169260.763660923,1572395.26162831,1239132.41878269,1615874.09895284,171159.792725751,2121876.39766856,303915.79293779,544595.841963793,3356576.94665872,1094464.27656673,1248281.41696498,2150816.77441041,1240.82112881342,2028040.7631185,2600876.85935116,1095768.491335,6459126.09644031,177514.325961545,1561047.88664202,709428.557241877,3940501.52817311,1902185.36853151,437571010.320567,3295136.88579935,8519.32016381235,8036145.41817331,1301651.46191122,167760.757601092,703172.486626123,6523.14235016501,18208213.3412062,9712173.20548033,49565.3761270929,N
NPDAC09,3220130.8014817,11822.2563665368,440485.263400632,2771862.44458319,499998.584654662,1903520.68870412,632848.569628495,437096.961245871,13813.4907558678,2276017.16534687,3959.50364757015,659740.974514705,187652.464305264,1625882.79617541,1815417.70064851,2471911.77636612,210520.639486969,2544940.9606244,257430.527493436,577668.69892531,4508741.98831236,873661.139171866,995355.539316481,2568273.03225367,508.307124390589,2362167.01161473,3806721.51622517,1016853.47223019,6573023.9861677,359649.238778839,1732429.11542911,498174.908674132,4397532.64303679,1334359.03025703,591495812.058845,3337987.82566234,1810.14852217734,9839449.69432727,1511741.2194653,234171.771420623,1180526.80791087,7500.16452253907,18038707.0833646,13366251.9863406,36161.853159369,N
NPDAC10,961608.83527782,472.370160529661,430183.688793029,1133289.81402259,132104.613853746,478808.830186786,326629.594092482,4053641.5416566,6609.99529945218,983490.960233093,7593.66441284963,232818.448470632,84837.1812470031,3133567.3895031,439289.264137463,2046957.72389452,59749.9906246257,852033.132648668,78689.9772400033,75143.2204506323,878502.028885823,109534.88589333,789326.92187564,785927.287560312,13579.6113797793,2089608.30010806,5778075.59878895,270590.132213934,1664917.15903562,120305.462161706,855618.742608776,290710.931281292,1153211.11520901,753951.590787906,436050257.32509,15212329.3042089,9101.6811481526,18813062.2074797,3988013.63382209,72937.4081993382,4712830.63259984,1187390.6100947,29331465.6053111,103402849.575561,7722137.62512796,N
NPDAC13,31176634.0208248,11822.2563665368,6162960.69943456,14953381.6034258,1696420.40990063,6492717.75499104,58352.4015525928,3417857.29396414,36552.7639978205,5005970.06744429,7023.37613979452,947933.505818957,267867.376086326,7684859.70629893,902931.785612298,5513614.19757701,527273.711885644,2860638.58349411,507374.646270685,364200.390283661,13523734.9848788,1144815.10412838,4961120.75162735,15039964.3519491,6606.27213387411,1307496.57376708,14416160.7033071,9469254.77179047,27325711.8599789,271479.404556577,1532560.01890277,1626987.6120361,14485184.0755415,3705208.02352393,2320379754.27389,76474679.527553,354.15358095744,18382851.8748478,6746293.74458375,1081393.03544418,4768836.60018927,33634.7442593649,72307621.6120315,18582146.6482963,215936.706562746,N
NPDAC14,6450178.79807234,15079.9421136003,645073.594213759,3209726.91217348,874211.806227797,910552.087937542,187472.952925262,819881.119534743,13813.4907558678,3583739.31014187,1396.57031129056,597392.066853326,980731.152266596,1876708.84348964,1570294.94459555,2043934.90055427,16144.4298101686,2550380.30320747,299094.400911328,409763.17871908,2694412.21764437,987429.550839775,1325951.70223668,4414105.25999148,2033.8789287374,722727.45613901,4013430.21430742,1992507.55929382,7745605.74390349,266108.447174513,1469232.36895553,535715.549160489,2982899.15515389,1492703.67487327,2717439584.17398,8647214.78955899,1591.34338876942,41539287.4466838,1284317.50497751,546932.88761804,18498702.42546,10445.8813910864,37884747.2138566,9799790.81119882,36559.3233923294,N
NPDAC15,901552.589871777,2636.39394136162,343485.218350251,357268.483105187,246389.02907741,1262408.29838999,68693.2795759553,317922.287151676,13813.4907558678,1989167.68755407,3749.90694174874,648593.330862141,364446.310348486,674999.329938029,951124.312533136,1334466.09111473,74682.9159514714,1858079.85056611,351633.764588836,513047.3326254,2302574.57806264,296132.392699927,696159.070326676,776985.775857616,27.9879558145124,1287529.73164973,3061490.7842226,626980.027386546,3062519.60066348,151737.451853659,1436343.44582692,449898.361023002,1559617.2229507,1452240.97297075,435233875.64604,5339661.57681235,614.762379857735,47807512.3988366,550377.785231364,447810.216564075,68132219.5291219,27903.4022716738,83149836.7312889,10648204.8012463,66967.744327208,N
NPDAC16,4889112.7767484,11822.2563665368,1136468.85087441,2398952.97271546,477026.40250426,1736403.54853833,196061.430239375,972104.391657435,13813.4907558678,1836059.04407113,4318.91328567566,413588.540799154,173712.03410632,1656105.04648524,1172700.90599693,2108740.3622061,301953.208324069,3353262.19384597,522131.99269808,842275.986106971,6004000.49446877,431274.566323364,1629797.90957619,2218717.68930385,4137.85337961148,2497464.70683873,4721559.58374372,1824914.80471417,12516143.1244667,459631.123625083,1985279.4858008,925235.74831331,7881318.24563157,2663694.53143568,4203575535.68184,15795901.9972406,52643.6929170409,118384895.650639,1797799.87684464,489693.641927952,1037010947.467,172502.234462851,334969355.891983,31647411.410823,455906.372805492,N
NPDAC17,1424683.34816576,11822.2563665368,598246.182438632,183912.499824336,22800.4254289984,2535852.26418469,339118.445856356,3056739.25756554,13813.4907558678,4577778.11638031,7373.60359307101,1361784.13066296,453455.743756568,1477468.68706685,1805144.20587574,1124958.49665824,220166.116952689,2602352.80847823,491917.986388425,1414314.26499078,3434271.09814525,901405.885216856,739078.861449639,1644222.94276015,123.90220580748,3261104.58474346,5627516.21072348,1955780.21656503,4873390.32337614,132010.910393503,1605385.56686557,576143.157038303,2145122.69931922,2939017.44358122,249825161.461625,8879056.81105494,9307.30321010235,33966320.2127881,681356.522011433,369252.228847873,8595178.08283599,255680.867575829,32878739.3218513,12727882.9653707,120887.269536388,N
