ID,NumberAtts,Atts,metricOpt
3,7,TRA2B SKIP RBM3 NOVA1 SC35 RBM45 SAM68TV1,0.801569762855618
5,8,TRA2B SKIP RBM3 NOVA1 SC35 RBM45 SAM68TV1 SRSF9,0.801569762855618
1,6,TRA2B SKIP RBM3 NOVA1 SC35 RBM45,0.794356993546074
2,7,TRA2B SKIP RBM3 NOVA1 SC35 RBM45 U2,0.794356993546074
7,4,TIA1 NOVA1 RBM45 SAM68TV1,0.789775088541955
8,5,TIA1 NOVA1 RBM45 SAM68TV1 SRSF9,0.789775088541955
14,3,SRSF3 RBM22 SAM68TV1,0.773977273731541
15,4,SRSF3 RBM22 SAM68TV1 SRSF9,0.773977273731541
4,8,TRA2B SKIP RBM3 NOVA1 SC35 RBM45 SAM68TV1 U6,0.77201888885943
17,5,RBM22 NOVA1 SC35 RBM45 SAM68TV1,0.761683100158214
6,3,TIA1 NOVA1 RBM45,0.760656784314188
11,7,RBM3 SRSF3 RBM22 NOVA1 TRA2A SRSF5 SF3BTV2,0.754405672118566
13,8,RBM3 SRSF3 RBM22 NOVA1 TRA2A SRSF5 SF3BTV2 SRSF9,0.754405672118566
9,6,RBM3 SRSF3 RBM22 NOVA1 TRA2A SRSF5,0.753192281015979
10,7,RBM3 SRSF3 RBM22 NOVA1 TRA2A SRSF5 MAGOH,0.753192281015979
16,4,RBM22 NOVA1 SC35 RBM45,0.75209725589495
18,2,SRSF6 RBM45,0.750828814177711
12,8,RBM3 SRSF3 RBM22 NOVA1 TRA2A SRSF5 SF3BTV2 SAM68TV1,0.750515299120205
