pred,obs,L,N,T,rowIndex,iter
L,N,0.699841834918422,0.0293292381585006,0.270828926923077,1,21
N,N,0.00339669156097949,0.99604631456317,0.000556993875851017,2,21
N,N,0.0164530260641374,0.550982877990038,0.432564095945824,3,21
N,N,0.34340501997445,0.627032174268977,0.0295628057565727,4,21
L,N,0.989050827475612,0.000120635173900082,0.0108285373504878,5,21
N,N,9.01141064055578e-09,0.999999985147817,5.8407725163889e-09,6,21
T,N,0.000348221221149902,0.339414343827735,0.660237434951115,7,21
N,N,0.115582511529526,0.674640206570495,0.209777281899979,8,21
N,N,0.0306135983500259,0.816896091570725,0.152490310079249,9,21
L,N,0.999205920333306,0.000766900461415486,2.71792052789422e-05,10,21
N,N,0.152512581840588,0.847096466136875,0.000390952022537079,11,21
N,N,0.151641169220882,0.594373941409905,0.253984889369213,12,21
N,N,0.00536515263883448,0.994079742589504,0.000555104771661916,13,21
N,N,0.000141246095788655,0.995004727659265,0.00485402624494641,14,21
N,N,4.48659934857731e-10,0.99999999955133,1.03409631016311e-14,15,21
N,N,0.0384057416760864,0.961578432200387,1.58261235266737e-05,16,21
N,N,1.14169275086472e-14,0.999999999999989,2.88434243172497e-19,17,21
N,N,0.000159471055135624,0.997594296096012,0.00224623284885246,18,21
L,N,0.944710277099688,0.0212175672129125,0.0340721556873991,19,21
T,T,0.0231707359966313,0.0883686241239667,0.888460639879402,20,21
L,T,0.752585675867642,0.23547777228365,0.0119365518487086,21,21
N,T,0.0225015738242805,0.961243099987051,0.0162553261886681,22,21
T,T,0.225157176307639,0.199195855048416,0.575646968643945,23,21
N,L,4.31254180771441e-14,0.999999972782854,2.72171027610269e-08,24,21
N,L,5.75660762693844e-05,0.953842334873016,0.0461000990507141,25,21
T,T,4.44649096879321e-06,2.0687486665712e-06,0.999993484760365,26,21
N,T,0.104853648106999,0.817287274219631,0.0778590776733696,27,21
L,L,0.960931514793565,0.0290092454076865,0.010059239798749,28,21
T,T,0.108887704370624,0.0295926240975718,0.861519671531804,29,21
N,L,7.10439003872569e-08,0.999999917071389,1.18847105276982e-08,30,21
T,T,0.00029535300561256,1.50557338317041e-06,0.999703141421004,31,21
T,T,0.138420031109015,0.0441605183081512,0.817419450582834,32,21
L,L,0.407399725375392,0.263602842663752,0.328997431960856,33,21
T,T,0.0774799141083254,0.031879535571426,0.890640550320249,34,21
T,T,0.135468465784382,0.270871484296636,0.593660049918982,35,21
L,L,0.498628994272739,0.460707291372221,0.0406637143550396,36,21
T,T,0.103643017084911,0.206650334906047,0.689706648009042,37,21
T,L,0.0290038038359436,0.0235749938845975,0.947421202279459,38,21
