Sample,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
T-PDAC_10,1921616.53277139,4.71747101142821,185391.813146963,1689400.76315991,171916.42001291,801181.599695951,297660.353265436,4903738.13673537,30374.8395637327,881242.862644612,74482.2125666184,164586.057361897,90220.4784625297,3678432.6852985,476385.058949003,1852420.6323437,156595.878609063,978658.301276976,143857.550603603,260079.291200036,1773415.14043601,500255.438066938,937600.659395602,1074893.45542886,23242.2530622068,3215897.28829945,7596471.75483211,384273.229637951,2443155.90392084,126431.742464258,1681995.65307085,277517.188040371,2055909.38541399,996252.953850203,896770359.226181,17644012.0921948,18873.9366948555,50582208.2443561,3296685.27962668,97405.6902619337,6934490.43957958,1005799.84177866,70212959.0534481,147348927.573432,8407807.39549508,L
T-PDAC_13,4122481.81152908,1944.20053226715,517509.827492769,1555844.85509202,408047.704764517,2498538.58817819,430128.676948948,999538.00298876,2478.30755408836,3099338.48538761,6597.31081162562,1045032.05758721,204888.08346535,1674619.17098518,1315354.20549619,2438298.9603471,181044.846843885,3094738.47967248,455076.056323062,1162608.93492587,4034025.88515294,1022343.43000705,844166.18582306,2736268.02158051,213.840776409697,2496762.01889493,2852304.70427417,1536541.43094045,10690784.6726955,157704.203157126,1595832.7754712,471565.371893706,5970922.75854222,2373924.45317216,1810132289.95841,5400887.89119573,5581.84246146467,31571475.0144667,1217641.70476463,267593.810455849,2513737.03854239,31176.9195690555,32048762.784451,9686877.08863956,85339.3052249859,L
T-PDAC_16,883597.854525103,1944.20053226715,421244.260045554,179785.591278299,125845.755406662,1394196.46980224,181379.063545174,559527.567191917,1018.2119538118,2401911.12135642,11041.7360332496,911975.581049575,318039.747555394,876632.721540657,1551135.25346096,1589883.90417107,224437.824433189,3467604.09270091,372333.444806994,966631.536373303,2800282.48717118,405265.759388657,861893.721024993,1180457.09555735,48.2995296615257,1932136.83501456,3410373.29600669,1533977.85937726,4203362.9624977,315691.335483807,1880513.49089476,910437.024073916,1578412.96762635,1360663.85210565,392916745.379609,4160041.22367454,3259.45353229794,48263975.5130649,584781.990067296,525578.340530691,144999810.590176,57872.1370340165,53305882.7225898,10080630.8662461,82962.3553786976,L
T-PDAC_18,982514.737580181,31136.2182323167,388859.237140399,259367.840520808,81946.2641645492,1424990.61752373,201984.095570012,1880654.49724979,7817.67627697544,3126398.78949842,14869.4073545835,902426.680426329,400092.558967478,1005167.41518779,1238037.63386558,1093918.6240435,152764.457548072,1717480.85788113,446737.533961835,603736.491359811,2695320.3663416,448121.210724359,655842.196854937,1160685.09160373,433.046373577704,1664227.79365384,2351578.37247806,941941.592281549,4708587.0926457,440742.283133742,1126816.64229691,611581.897128344,1732887.32120554,2011629.34825442,125492290.031064,2729484.15655518,1125.71439745847,12882180.3140155,473127.1438093,250660.069351839,1724276.85830112,13508.1412761337,13158118.0187869,10771067.7970072,52333.188589265,L
T-PDAC_22,643842.297268507,2594.56618058714,269508.237693656,250469.163626638,146487.651711359,938104.64458568,160506.598159991,430287.55302805,2478.30755408836,1839113.36744685,3945.7848217345,708582.813070082,285685.673288206,646250.77415699,832749.513526894,947128.015469569,146438.612234303,2281456.55768672,271663.187365102,343342.538993741,1380378.37155331,267895.046359368,715385.416157286,517658.728017753,85.1718223153567,1668205.82501874,1950037.18422425,546351.150171418,2332002.0461016,294143.688577477,1457598.80147485,381703.707391145,1218507.75612243,1226129.44697249,109727854.894332,657702.757204125,150.824993258792,5432284.82310535,425855.771678974,387077.844426027,1655387.7506295,7294.37060491572,7626800.26621202,3475388.19648194,21567.0067577968,L
T-PDAC_28,1861988.88423872,1944.20053226715,382808.009837204,284115.953317462,164202.551970104,1319776.02708665,113821.239833161,1256317.28554439,2478.30755408836,2907524.56538262,6153.52336866045,871351.842553339,434079.528541021,998534.430042868,1312562.95893965,963017.366217867,163230.915952366,2961325.25799431,200290.792774452,390630.281652773,2883923.22189386,507782.832206684,1236004.88599818,1454086.78793938,122.024937229375,1434293.74783456,2564189.07333019,1128388.8772219,5724031.26734324,253544.417337036,2297707.91591938,848269.431778155,2375529.8247163,1203402.01937075,330035544.978792,1176866.87996305,738.926867178061,21688834.5320831,723204.152935568,868792.042961957,18548383.3334759,13410.6626938637,6130984.99662208,4365471.35946161,45697.6057208365,L
T-PDAC_30,629610.119250145,1365.85333675675,263313.717896184,332359.844429562,182429.863795981,1083212.65822646,88952.6386559108,68482.234110513,91.1224725909523,1171461.22832659,3159.23767097529,848212.130490439,290240.705499756,377809.906926745,1047885.2201474,897159.820997239,83063.3149366909,1824291.70806882,311015.364709188,585771.795917255,1436832.74943012,275995.684691231,539267.242960262,645702.956139394,6.97116094127339,1211152.93199275,2171209.19252692,486874.993960161,1087929.76567999,128243.442003295,838549.80326001,243095.532656913,497366.440359458,740575.290162311,28929684.1043085,1826108.12433231,91.1244169565982,5519998.31313831,198884.810757237,393503.589639832,6538545.96889547,2528.677160546,5332420.23709354,2667337.68435196,21437.8601424807,L
T-PDAC_02,1941245.87755869,1944.20053226715,204196.551657325,702430.065827156,159626.756943807,1209904.91789143,215998.334557189,143813.25255574,854.065276254195,760592.10465235,1713.07047664445,484375.451416769,228037.133162575,851644.784744298,847086.571937908,1172262.64122247,128692.606179522,1580675.40374956,448721.081443723,534946.325509324,2022873.92214214,544796.161044282,326025.29954817,1055759.82093886,104.514048121484,2679679.43546858,1948306.25154415,680488.999085101,4215770.79699091,106913.092087879,1335937.49680541,210479.482051811,2829430.42230029,1370232.83486169,209618713.3682,5007749.1678825,11492.8835179654,6405607.85619189,505015.08008788,174196.21859439,1563742.43457989,2818.63377526065,103886760.094882,5254620.76778198,49816.9973949701,T
T-PDAC_04,1907231.58903385,694.603258338112,382229.097144362,674680.155752686,376751.685453458,2117930.03993416,363533.326169654,489888.05563524,2478.30755408836,3117714.79713097,16698.0168222615,972434.616478464,465871.014985576,1176029.75351016,1300245.47361199,1599253.385205,206908.458126588,2682010.88893348,401971.483423909,884760.645503831,2901326.75016191,768062.972346075,770871.920284854,1490373.93124255,37.4812080958309,2484690.65285565,3291466.68733497,1070374.03868989,6814665.78250667,175359.630421595,1620857.23378912,755853.125434799,3868026.23538773,2829690.07236825,165436279.602887,2938006.67299021,1167.7795369743,9820823.20950007,732584.104723482,399930.537131304,1158153.74829817,50067.6848258994,9472802.71214171,7061060.26311593,54328.0861636511,T
T-PDAC_06,3845909.78452099,1944.20053226715,734322.946323201,3028918.84053391,84582.2468962137,324930.613121874,121090.372550982,129644.434349545,11779.8098403939,283913.965526784,3723.96048078989,284760.477510989,119685.488065272,367366.51863303,535907.627739231,1084928.38824488,59105.826723083,790550.02767757,298676.911103522,235516.805475073,713253.658596093,262045.449814224,600099.297299189,1906462.33442538,85.1718223153567,1231117.49367677,1155392.62912889,570762.921016414,1974583.04715679,109579.039764402,674639.420551846,229593.309009718,619102.379100656,330797.577496423,8642565348.38134,205540109.77497,123.966914899485,3556265.30266345,1202368.93619286,256933.299815732,2954522.30732897,6411.55877452398,803331547.005509,6160901.39128184,51764.9351014029,T
