@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,20,0,1,1,0.375,1,0.625,0.545455,1,1,0
12,0,19,1,0.95,1,0.387097,1,0.612903,0.55814,0.96875,1.032258,0.05
12,0,17,3,0.85,1,0.413793,1,0.586207,0.585366,0.90625,1.103448,0.07
12,0,15,5,0.75,1,0.444444,1,0.555556,0.615385,0.84375,1.185185,0.09
12,0,14,6,0.7,1,0.461538,1,0.538462,0.631579,0.8125,1.230769,0.1
12,0,13,7,0.65,1,0.48,1,0.52,0.648649,0.78125,1.28,0.11
12,0,11,9,0.55,1,0.521739,1,0.478261,0.685714,0.71875,1.391304,0.13
12,0,10,10,0.5,1,0.545455,1,0.454545,0.705882,0.6875,1.454545,0.15
11,1,10,10,0.5,0.916667,0.52381,0.916667,0.47619,0.666667,0.65625,1.396825,0.18
11,1,9,11,0.45,0.916667,0.55,0.916667,0.45,0.6875,0.625,1.466667,0.21
11,1,7,13,0.35,0.916667,0.611111,0.916667,0.388889,0.733333,0.5625,1.62963,0.24
11,1,6,14,0.3,0.916667,0.647059,0.916667,0.352941,0.758621,0.53125,1.72549,0.26
11,1,5,15,0.25,0.916667,0.6875,0.916667,0.3125,0.785714,0.5,1.833333,0.29
10,2,5,15,0.25,0.833333,0.666667,0.833333,0.333333,0.740741,0.46875,1.777778,0.44
10,2,4,16,0.2,0.833333,0.714286,0.833333,0.285714,0.769231,0.4375,1.904762,0.46
9,3,3,17,0.15,0.75,0.75,0.75,0.25,0.75,0.375,2,0.47
8,4,3,17,0.15,0.666667,0.727273,0.666667,0.272727,0.695652,0.34375,1.939394,0.48
8,4,2,18,0.1,0.666667,0.8,0.666667,0.2,0.727273,0.3125,2.133333,0.5
8,4,1,19,0.05,0.666667,0.888889,0.666667,0.111111,0.761905,0.28125,2.37037,0.55
7,5,1,19,0.05,0.583333,0.875,0.583333,0.125,0.7,0.25,2.333333,0.68
6,6,1,19,0.05,0.5,0.857143,0.5,0.142857,0.631579,0.21875,2.285714,0.69
5,7,1,19,0.05,0.416667,0.833333,0.416667,0.166667,0.555556,0.1875,2.222222,0.75
3,9,1,19,0.05,0.25,0.75,0.25,0.25,0.375,0.125,2,0.79
3,9,0,20,0,0.25,1,0.25,0,0.4,0.09375,2.666667,0.8
2,10,0,20,0,0.166667,1,0.166667,0,0.285714,0.0625,?,0.83
1,11,0,20,0,0.083333,1,0.083333,0,0.153846,0.03125,?,0.85
0,12,0,20,0,0,0,0,0,0,0,?,0.85001
