"CA150","CUGBP","ESRP1","ESRP2","FBP11","MAGOH","NOVA1","nSR100","PRP8","PSF","PTB","RAVER1","RBM17","RBM22","RBM3","RBM45","SAM68TV1","SC35","SF3BTV1","SF3BTV2","SKIP","SND1","SRM160","SRSF1","SRSF10","SRSF3","SRSF4","SRSF5","SRSF6","SRSF9","TIA1","TRA2A","TRA2B","U1","U11","U12","U2","U2AF1","U2AF2","U4","U4ATAC","U5","U6","U6ATAC","gleason8"
6884679,4303911,4806933,8767872,9860508,243074,4611756,6739,39532980,4070,8014756,2544802,2841752,7275887,9860508,1093535,24206850,2645210,3242284,27986240,109070,13832920,35851630,124088,7972376,41298830,3076686,12047810,343068,14766110,2630486.5,5903326,3498278,16496850,11800680,660.54545,1613692,1503200,2171869,69886340,16,18876760,20937850,19682,"N"
2545895,1434880,7796310,2923119,1647485,37902,680430,368,11719440,2310,6037790,2077157,2282487,12557690,7689331,1086429,30405230,3062989,2055092,22905300,46630,18746810,28695570,253127,9109845,43302300,3925326,17861800,396549,40620770,2672038,5388592,5010372,26680010,40922410,6203,17738830,2823321,2040943,598831800,62,15664610,61514700,59848,"N"
5198420,1685864,3434420,2810895,5846238,159853,1674257,24754,21723680,2888,5927575,1489840,2670836,11855150,10836860,924283,31401440,2087884,1701464,17698020,129333,10396840,22142640,441876,9048198,39055120,5073719,27349130,276826,31600640,2916395,9134910,6454770,46890020,39990790,174,51996180,2417102,1502510,2662151000,49,16516640,61798640,142514,"S"
2810896,1408688,2414561,1499055,3998159,152306,1287689,740,21874280,1341,4719188,2326797,1670012,7689329,4333747,482444,19812060,2467848,1814787,9266090,142796,7531605,11370800,116110,9640984,18199270,3134255,5752754,569995,13191160,1475084,4630035,3774483,23205180,13928820,10,13089150,1430281,2112673,1147620000,86,17136540,18489560,49713,"S"
15664610,2279480,11719440,5873229,9997698,808706,1693647,6376,31041970,2764,8126266,2257597,4481617,10113510,17335060,618965,24487270,3038346,3371741,22383930,159119,18320100,18598820,203965,20843450,41890680,2522521,16177910,539311,41795600,3190449,7848946,8163805,24886530,69021650,124,51282880,7837675,958958,616787300,14,17097190,175398500,683918,"S"
3853527,1681986,2727994,2746906,4363790,161704,4675917,6376,23710320,12377,5010370,857839,2337201,5968668,9883239,1018451,15592620,1417281,862568,18660660,95213,21131600,23176300,421054,9227408,16672120,4475224,99999950,416088,26205810,3249758,10151980,3458229,34654535,34749930,2030,14057710,1658493,997240,1904845000,11,15919160,44255210,73807,"S"
6845270.5,4475757,20461270,1701471,9117954,347341,4829140,147475,19227810,8445,5319539,666551,1608983,4601149,7012690,650740,16746440,1723615,1063660,7061304,82545,13149580,11624270,242013,11319460,17130920,3820772,26058030,223112,34702870,1272948,7015451,4323780,42251290,8277360,660.54545,5859719,1294553,1272948,437439900,5,17944260,10183590,25567,"N"
8910351,1389358,5608861,4434703,2715459,84080,746083,1934,13301860,3385,2850003,1067710,2991148,8315562,12328460,753927,23601350,1798003,1685863,20841620,182274,17902960,13645220,563745,11509880,20244950,3369172,38544130,251342,20221630,1573328,8304971,7445379,78111140,44561980,20,17657300,2178417,1818970,2913987000,32,23438870,26178300,49634,"N"
10372920,1296614,4654428,2117543,12761750,188681,3249756,6376,18277880,3270,2222461,2454808,2472115,11746480,14253330,555735,33109520,2480185,1509450,23438940,98560,14551820,38562800,1170761,7001962,52038840,2359160,19450460,186999,25584830,6620381,5627288,3555134,81011980,18790070,9674,1573333,2763915,1909101,770472000,20,11909910,17779760,142079,"S"
4264447,1678117,4475740,2684372,4264447,229475,1632379,9497,19095360,1873,6727946,1644413,1869264,7275887,20367180,1337316,42950020,3621743,2984335,21376320,130530,13271260,19786920,699614,14708230,52659300,8524858,21376320,616843,49529850,2476506,10647590,9395012,49276440,58207180,660.54545,95719000,1992353,2375952,620065900,33,21673730,156321800,259777,"N"
1519911,756463,3783186,3363974,1428287,247024,301820,856,7143077,15053,4751903,1159150,2288091,7724825,11295490,1119673,14585330,1897666,1502511,15628570,97431,13424950,14608520,153017,14017760,23365800,2862654,23655780,689107,19709230,2896317,5251643,4007377,41193180,16631140,52,3082114,2330172,1078458,395547600,51,17455170,23655780,72398,"N"
5295076,2943382,7636390,5368745,3546948,73061,630637,2126,24885100,588,10712800,460336,3573249,10160150,9416661,785532,17657300,1164452,1606276,11746450,66021,10090200,28318390,441570,8482224,19911950,5023803,23277500,519494,26679620,1562496,8253283,6529517,53246910,9815191,12235,577798,1712783,1448157,3832612,9,30899290,9351831,38040,"N"
16365240,2641454,9481971,2696771,12075610,144118,4434714,8782,34273180,4432,4284144,1334690,2805533,7275887,15556750,944794,21975260,1979105,1008789,9860505,101088,10277820,14074360,245924,11013340,19320080,4596707,30405210,919454,25075250,2142066,8225664,6121790,50134270,17136540,11,11012960,2994200,3287392,1597134000,3,27036030,12732400,23095,"S"
