CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Tumor
7497369,2991224,25289586,245324,6178464,366233,14253345,25980,22958184,2790,5127107,4118028,5553573,6264423,6824178,377278,31765200,3679068,1617418,30686696,78468,11746498,23331452,147224.5,22045596,51744470,986130,12243630,201945,81775704,4284149,5327198,2810906,16668432,67261796,31525,11513817,2207564,1379798,537070600,251.022,8145027,21049053,68304.5,N
7497369,1118926,20937678,1904690,6336896,605027,6790154,284932,32355448,443,4333713,1517205,4238979,9525643,6884624,223787,31691772,2624855,2026876,27793344,71069,4363755,48663236,147224.5,9470240,51515900,3034685,24206656,98535,31456464,1852777,15826180,3907110,30722824,43849092,30175,1840021,5750005,657322,110005910,36.171,16103382,39806720,373957,N
8376129,2392530,6618370,4149335,9090810,280211,1269883,6736,28065428,1192,5557976,2219586,2236805,11363694,6555375,869302,29127780,2361247,2216731,26858618,116864,16504600,46917772,139244,9066778,46048944,3870361,51027616,370767,25300644,4884475,9758140,4731254,70746610,147042000,2086,45495216,2194501,2600410,1733519600,214.009,12948870,25063888,40493,N
7497369,1658840,3113577,1837161,5876660,346489,1675668,6427,19051414,2115.868,3348313,1405227,2262620,7400777,5027142,429572,19360064,1482534,2007007,18855894,196148,9774252,45212824,88239,8732261,25304826,4006948,18955094,335437,16478044,2398615,7316138,4717266,29522980,11554592,1351,3612898,1770700,1316654,27035444,339.198,10427240,8264506,21540,N
6961134,2283392,7755004,3833559,13067479,511455,361759,6469,37119250,2645,7135951,2685259,2274192,16318887,6824178,803428,27157666,2320054,3542130,30200788,264959,11132961,57709624,155205,11721212,36773000,2775188,17213724,482666,16914386,3785713,4887132,5667211,29928032,15327762,1541,7829903,1791619,941441,537070600,858.01,14295450,14770918,30994,N
7497369,2364279,13934460,2866376,10573460,322168,3497388,30686,24148884,3651,4842784,2759850,4920696,12849195,6039912,859190,28059620,2167020,1285450,28428008,55228,14924107,32738488,1124182,11471570,38796724,3745208,29760338,397818,32741276,5162369,9305335,5236024,55330800,90674500,9901,244586320,4862918,1795492,8208892400,251.022,12750080,47373870,148591,N
11303495,987772,2865298,1285060,5184910,269707,4672834,21109,18990830,841,5444399,1544149,2428853,9550202,8508237,618965,33432008,1660985,1401286,21642088,137493,9602337,20057340,635371,4599228,23597968,3262266,20302832,158397,18063832,4165880,4555711,3598890,43929308,530001570,19229,125077360,2207564,1613109,3272290300,94.928,10310660,17034218,96116,N
7497369,1717070,7446684.5,2382355,5794026,345212.7,9268237,17917,15873723,1053,12983075,3341512,2185624,13199240,6824178,620425,43512496,1424257,669876,34242924,5260,9586425,38975656,147224.5,20370680,43977900,3806903,104186750,395805,41047620,1891884,4369052,2107139,15617376,829752900,29156,15197731,2207564,452700,537070600,288.035,7893839,45304680,293711,N
6227881,2535792,7138365,3726732,6661512,259463,821934,14725,16844930,6958,7475684,3972969,3479814,8303877,7180026,347840,29961900,3820082,1845716,14969320,74302,18883232,20174890,76387,6434812,35479160,3666552,11982340,760486,36011988,3261912,3401653,3812666,22314910,10359203,5818,3190820,3700575,2706666,68527624,251.022,9584275,7349095,28089,N
6884679,4303911,4806933,8767872,9860508,243074,4611756,6739,39532980,4070,8014756,2544802,2841752,7275887,9860508,1093535,24206850,2645210,3242284,27986240,109070,13832920,35851630,124088,7972376,41298830,3076686,12047810,343068,14766110,2630486.5,5903326,3498278,16496850,11800680,660.54545,1613692,1503200,2171869,69886340,16,18876760,20937850,19682,S
