ESRP2,PTB,SAM68TV1,SC35,SF3BTV2,SND1,SRM160,SRSF10,TIA1,U2,U2AF1,U2AF2,U4ATAC,U6,U6ATAC,Clase-enfermo-sano
3435082.9799171,5283490.92014971,15062301.2562639,1689334.02927761,17850312.8502813,11174022.8644399,5064101.67081829,11751006.901374,2004354.12423723,456284012.275047,4398073.3155036,1045572.47171409,25462.3069105096,44144978.5379868,233059.126971162,S
8575026.29092366,4820031.27335403,23015537.1546852,2995075.60635643,11675986.2034252,14527723.5200265,7902409.92680521,9558073.65965542,1720406.07233811,38270138.0277789,6993522.36696451,1886739.98837272,334.518597014662,15847453.2609929,55515.5388542939,S
1662881.67643534,4452581.51928576,7161985.67790401,1485423.52336726,34672914.2317864,8373173.16627554,3671074.04928613,11773021.0293724,4181138.47664431,668338457.917336,3938014.32356524,923973.243013303,1638.65121946429,53951788.622237,215096.387014507,S
3273416.48498255,4910218.44721182,15930977.1654408,1424580.10126224,15340860.8945552,10756826.0936209,5399543.45657453,11336087.4749791,2098844.55748367,264370770.573575,3721582.31553446,916484.171036433,985.692568496832,28091840.1974698,67317.97587398,S
2088345.67464764,4477586.54327011,10897240.5622993,1185405.41554001,21654218.1539558,13008489.7809936,4929206.78586426,8983042.15184302,3033559.30198892,763425414.384086,3458520.40500842,421022.249776967,7532.83514594794,34069691.1171693,142695.318529271,S
5971581.21302038,4935570.30469373,20673963.3758877,2067600.92089572,19727216.5469844,14672878.6305129,8282094.96371701,12469624.843392,1576791.02756527,186274894.830366,5904092.29538427,1681797.81444283,641.286462145587,21196451.124275,62544.8388311824,S
1833818.62617453,4958193.4715763,11050646.8557224,579477.213125365,48399079.1003272,9927048.75953265,8827486.51958332,10873743.7718024,4108732.32163435,1195.9538687726,3768533.81885638,491210.723000374,853.883413167114,31080765.6573196,349085.033073978,S
2053692.6852729,3430544.91757729,10251283.3361803,1132159.87698832,24758398.8490052,8845487.63653585,6200410.24996368,7544646.21355674,1507256.79860375,995245648.951815,3321822.37750236,836959.204822019,722.074257837396,50756182.4860475,87961.5244839951,S
3908681.44747973,4228798.03435412,18311188.403226,1807126.90863559,18437973.642565,16895236.7915768,8413300.32663072,9638668.4687874,2202607.38911814,300766351.544207,4980290.41436393,1167315.71674313,277.065254343575,25170086.1072199,50057.5030213057,S
3814729.71390213,5180743.08260814,17509297.1312639,1910036.68666368,13635475.8252306,10840263.1300594,7267712.10124541,7897373.43763469,975262.795832021,1126573138.18517,4334693.07662218,706292.500757191,35.3877817857055,30983856.6038013,181496.019566432,E
686942.387235717,3573911.18714294,3877441.25084003,636029.239983054,18477506.0081111,4816660.63490089,7381524.14113656,9587759.94860625,1049899.50774551,1038946216.77203,6093657.1823372,190065.033564677,3501.14256675279,8276213.32055447,201083.776476975,E
9680531.03891593,8653519.62265904,28948605.9870936,4010827.57901858,9624153.45842389,20074123.458851,9726758.28961395,14231554.7032003,869299.382216935,51032670.5869513,7333654.55665592,2283435.53916632,3.53773147611597,6640212.99831017,15993.4874625185,E
5654954.93325688,6491164.67079097,23170066.9687089,2630690.09502463,10054437.9109779,18164542.9835265,7571980.55378979,10844260.0916684,1026598.51019685,144131702.40202,5940156.58330153,1284506.40929325,149.684919015716,13067961.373229,44884.3423392907,E
9640063.8169887,7598251.70821141,31574712.1846019,3643359.06320278,11416702.0073843,29921576.1263432,12854397.1061982,13969990.0991435,3232008.276991,34143350.1588915,7810922.87042783,2386295.74705448,31.5731404725749,7288570.94512741,21263.0868164212,E
6883841.03747021,5526804.96925444,21736600.6923876,2691970.41903719,6813102.97786432,17200358.0926864,7699929.22907181,12929875.2836838,1001708.85996968,27312887.6661484,5887643.72765039,2232406.2198324,8.19984401199378,8029819.86385478,15573.2378632051,E
9416387.68453906,6341807.37703307,24106243.030833,2818585.38668833,7038016.32985724,22721721.1941264,10323544.9576999,12174516.3788183,1713327.40623487,15251330.4607724,9290930.79831764,2659086.81993345,35.3877817857055,8276213.32055447,24284.8931182841,E
5253474.48283252,4827126.38937094,22654501.9326816,2799179.48815691,14745190.0436382,15666251.0823598,7987711.16008509,10650554.3110378,2063390.86236905,156099608.484883,5738722.37743298,1599516.67049622,657.621775117704,17794363.86227,38416.108686222,E
5667150.35695907,6039706.22604733,28340969.6979035,2506564.90203004,12199975.3225844,17415655.375852,10543263.1906694,15573481.6567359,1959207.86397456,48755357.3225229,6633452.97408393,1652350.44218527,36.1343529513054,7492185.40272665,16353.2873891034,E
4483620.11261513,4849730.83998333,24522235.6316202,2255038.52858549,9151255.54054303,13562606.335832,10898971.77162,12139674.7853686,981871.194033707,15765621.433403,5474519.80869675,1482297.5812572,58.4638101992744,5470431.47304992,23969.2677536437,E
4790806.93926911,4721680.87299074,17126184.0352528,2427875.39594173,6561042.02230125,13213763.6587617,6968223.47738073,11491405.6008481,775847.568079922,17259790.7630837,4768672.0571524,1344939.46447587,27.3469517696873,5223372.95753867,18371.7527777601,E
6852043.23571391,6103896.65454344,24311779.9165894,2293767.92106024,10382287.1423158,20919326.4276701,8613578.41015678,11702771.5400528,1206211.61120397,138782826.84003,6140362.13117768,1387646.33490182,55.5686158030234,12568766.4141544,40569.9054473636,E
4899903.08803477,9758193.70242289,35766213.6579964,4411369.32988433,13751152.7247368,15438131.9780793,9654360.11746357,17790980.3697477,1003428.09862287,42638114.5884289,6570251.23547262,1800435.89932761,50.8042531551906,8025797.6272496,22034.5708533895,E
