Number-Atts,Number-Significant,Atts,AUC
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 SRSF1,0.8739495798319328
5,5,U6ATAC RAVER1 TRA2A RBM3 U2,0.8571428571428571
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 PTB,0.8403361344537815
4,4,U6ATAC RAVER1 TRA2A RBM3,0.823529411764706
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 RBM45,0.823529411764706
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 SF3BTV2,0.8151260504201682
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 PSF,0.8151260504201682
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 SRSF10,0.8067226890756304
6,6,U6ATAC RAVER1 TRA2A RBM3 U2 NOVA1,0.8067226890756304
7,7,U6ATAC RAVER1 TRA2A RBM3 U2 SRSF1 SRSF3,0.8067226890756304
