Number-Atts,Number-Significant,Atts,AUC
4,4,PTB SAM68TV1 RAVER1 MAGOH,1.0
5,5,PTB SAM68TV1 RAVER1 MAGOH U5,1.0
6,6,PTB SAM68TV1 RAVER1 MAGOH U5 SKIP,1.0
7,7,PTB SAM68TV1 RAVER1 MAGOH U5 SKIP SRSF6,1.0
5,5,PTB SAM68TV1 RAVER1 MAGOH SRSF3,0.9761904761904762
5,5,PTB SAM68TV1 RAVER1 MAGOH SND1,0.9761904761904762
7,7,PTB SAM68TV1 RAVER1 MAGOH U5 SKIP U1,0.9761904761904762
7,7,PTB SAM68TV1 RAVER1 MAGOH U5 SKIP SRSF9,0.9761904761904762
3,3,PTB SAM68TV1 RAVER1,0.9523809523809524
5,5,PTB SAM68TV1 RAVER1 MAGOH SF3BTV2,0.9523809523809524
5,5,PTB SAM68TV1 RAVER1 MAGOH SRSF5,0.9523809523809524
5,5,PTB SAM68TV1 RAVER1 MAGOH U11,0.9523809523809524
5,5,PTB SAM68TV1 RAVER1 MAGOH SRSF4,0.9523809523809524
4,4,PTB SAM68TV1 RAVER1 U12,0.9285714285714285
5,5,PTB SAM68TV1 RAVER1 MAGOH NOVA1,0.9285714285714285
5,5,PTB SAM68TV1 RAVER1 MAGOH SRSF1,0.9285714285714285
6,6,PTB SAM68TV1 RAVER1 MAGOH U5 U4ATAC,0.9285714285714285
5,5,PTB SAM68TV1 RAVER1 MAGOH FBP11,0.9047619047619048
4,4,PTB SAM68TV1 RAVER1 TRA2B,0.8333333333333334
5,5,PTB SAM68TV1 RAVER1 MAGOH RBM22,0.8095238095238096
