Number-Atts,Number-Significant,Atts,AUC
10,8,RBM45 SF3BTV1 SKIP NOVA1 RBM3 ESRP1 RAVER1 TRA2B SRSF9 SRSF6,1.0
6,4,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12,1.0
7,5,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12 SRSF1,1.0
6,4,CA150 SF3BTV1 SKIP RBM45 U12 RAVER1,1.0
8,5,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1 RAVER1,1.0
9,5,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1 RAVER1 U2AF2,1.0
10,6,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1 RAVER1 U2AF2 SRSF5,1.0
10,6,MAGOH SF3BTV1 SKIP SC35 RBM45 SF3BTV2 PRP8 U4 RAVER1 U6ATAC,0.9930555555555556
8,6,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12 SRSF1 RBM22,0.9930555555555556
8,6,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12 SRSF1 SRSF9,0.9930555555555556
6,4,U11 SF3BTV1 SKIP RBM45 SF3BTV2 U4,0.9930555555555556
7,4,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1,0.9930555555555556
9,5,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1 RAVER1 U6,0.9930555555555556
11,7,MAGOH SF3BTV1 SKIP SC35 RBM45 SF3BTV2 PRP8 U4 RAVER1 U6ATAC U11,0.9861111111111112
11,7,MAGOH SF3BTV1 SKIP SC35 RBM45 SF3BTV2 PRP8 U4 RAVER1 U6ATAC TRA2B,0.9861111111111112
6,2,U4 SF3BTV1 SKIP CUGBP PRP8 NOVA1,0.9861111111111112
7,3,U4 SF3BTV1 SKIP CUGBP PRP8 NOVA1 U4ATAC,0.9861111111111112
7,5,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12 NOVA1,0.9861111111111112
7,5,ESRP1 SF3BTV1 SKIP RBM45 SF3BTV2 U12 RAVER1,0.9861111111111112
7,4,U6ATAC SF3BTV1 SKIP CUGBP SF3BTV2 U6 RBM22,0.9861111111111112
7,4,U11 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1,0.9861111111111112
7,5,CA150 SF3BTV1 SKIP RBM45 U12 RAVER1 U6ATAC,0.9861111111111112
7,5,CA150 SF3BTV1 SKIP RBM45 U12 RAVER1 SRSF9,0.9861111111111112
6,3,SRM160 SF3BTV1 SKIP RBM45 PRP8 ESRP1,0.9861111111111112
10,6,U1 SF3BTV1 SKIP RBM45 SF3BTV2 U4 ESRP1 RAVER1 U2AF2 PTB,0.9861111111111112
7,6,SRSF6 SF3BTV1 SKIP RBM45 SF3BTV2 U12 U6ATAC,0.9861111111111112
