Number-Atts,Number-Significant,Atts,AUC
7,6,U6ATAC RBM45 PTB SKIP U6 SRSF9 SF3BTV2,0.9375
12,10,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B,0.9375
13,10,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2,0.9375
14,11,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22,0.9375
15,12,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22 SND1,0.9375
16,13,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22 SND1 U1,0.9375
17,14,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22 SND1 U1 SRSF10,0.9375
6,5,SKIP RBM45 SRSF9 U12 U5 U2AF1,0.9375
7,5,SKIP RBM45 SRSF9 U12 U5 U2AF1 U2AF2,0.9375
8,6,SKIP RBM45 SRSF9 U12 U5 U2AF1 U2AF2 SND1,0.9375
6,4,nSR100 RBM45 U4ATAC RAVER1 ESRP1 TRA2B,0.9375
7,4,nSR100 RBM45 U4ATAC RAVER1 ESRP1 TRA2B CUGBP,0.9375
13,9,SRSF9 RBM45 U4 PTB SKIP U6 PSF SF3BTV1 U2 nSR100 U12 U11 SRSF1,0.9375
10,5,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150,0.9375
11,6,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12,0.9375
12,7,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17,0.9375
13,8,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17 TRA2B,0.9375
14,8,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17 TRA2B ESRP2,0.9375
15,9,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17 TRA2B ESRP2 SRSF1,0.9375
16,10,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17 TRA2B ESRP2 SRSF1 U1,0.9375
17,11,SRM160 RBM45 U4 U6 PSF SF3BTV1 U2 SRSF9 SC35 CA150 U12 RBM17 TRA2B ESRP2 SRSF1 U1 TRA2A,0.9375
5,4,TRA2B RBM45 U6ATAC PTB PRP8,0.9375
9,8,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1,0.9375
10,9,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1 TRA2B,0.9375
11,9,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1 TRA2B ESRP2,0.9375
12,9,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1 TRA2B ESRP2 CUGBP,0.9375
13,10,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1 TRA2B ESRP2 CUGBP SND1,0.9375
14,11,RBM22 RBM45 PTB U4ATAC RAVER1 U2 MAGOH U12 ESRP1 TRA2B ESRP2 CUGBP SND1 SRSF10,0.9375
19,11,U4 U6ATAC U4ATAC PSF SF3BTV1 RAVER1 nSR100 SRSF9 MAGOH SF3BTV2 RBM3 ESRP1 PRP8 U2AF1 TRA2B FBP11 ESRP2 CUGBP SAM68TV1,0.8875
20,12,U4 U6ATAC U4ATAC PSF SF3BTV1 RAVER1 nSR100 SRSF9 MAGOH SF3BTV2 RBM3 ESRP1 PRP8 U2AF1 TRA2B FBP11 ESRP2 CUGBP SAM68TV1 SRSF3,0.8875
8,7,U6ATAC RBM45 PTB SKIP U6 SRSF9 SF3BTV2 U12,0.8875
8,7,U6ATAC RBM45 PTB SKIP U6 SRSF9 SF3BTV2 U5,0.8875
8,7,U6ATAC RBM45 PTB SKIP U6 SRSF9 SF3BTV2 U1,0.8875
8,7,U6ATAC RBM45 PTB SKIP U6 SRSF9 SF3BTV2 SRSF5,0.8875
6,5,PTB RBM45 U4ATAC RAVER1 U2 nSR100,0.8875
7,6,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH,0.8875
8,7,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2,0.8875
9,8,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3,0.8875
10,9,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12,0.8875
11,9,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1,0.8875
15,11,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22 U2AF2,0.8875
15,12,PTB RBM45 U4ATAC RAVER1 U2 nSR100 MAGOH SF3BTV2 RBM3 U12 ESRP1 TRA2B ESRP2 RBM22 SRSF3,0.8875
