Number-Atts,Number-Significant,Atts,AUC
4,2,TIA1 SKIP PRP8 ESRP2,0.9790209790209792
9,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17,0.972027972027972
10,5,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12,0.965034965034965
7,4,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11,0.958041958041958
8,4,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100,0.958041958041958
8,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 SRSF5,0.9510489510489512
8,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 SAM68TV1,0.9510489510489512
10,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17 U2AF1,0.9510489510489512
5,3,TIA1 SKIP PRP8 ESRP2 U2,0.9440559440559442
11,6,RBM17 TIA1 SKIP PRP8 PTB SC35 ESRP2 SF3BTV1 SRSF1 U6 SRSF4,0.9440559440559442
6,3,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP,0.9440559440559442
8,4,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 U4,0.9440559440559442
10,6,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17 U12,0.9440559440559442
10,6,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17 SRSF6,0.9440559440559442
7,3,SRSF3 TIA1 SKIP PRP8 CUGBP ESRP2 U4,0.9440559440559442
5,2,TIA1 SKIP PRP8 ESRP2 CA150,0.9370629370629371
9,5,SF3BTV1 TIA1 SKIP PRP8 CUGBP MAGOH RAVER1 ESRP2 U1,0.9370629370629371
9,4,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2,0.9370629370629371
11,6,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12 NOVA1,0.9370629370629371
11,6,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12 SRM160,0.9370629370629371
5,3,SF3BTV2 TIA1 SKIP ESRP1 PRP8,0.9370629370629371
8,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 PSF,0.9370629370629371
8,5,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 U4ATAC,0.9370629370629371
10,6,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17 SRSF10,0.9370629370629371
5,3,TIA1 SKIP PRP8 ESRP2 TRA2B,0.9300699300699301
5,3,TIA1 SKIP PRP8 ESRP2 SRSF6,0.9300699300699301
7,4,SF3BTV1 TIA1 SKIP PRP8 CUGBP MAGOH RAVER1,0.9300699300699301
8,4,SF3BTV1 TIA1 SKIP PRP8 CUGBP MAGOH RAVER1 ESRP2,0.9300699300699301
11,6,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12 U11,0.9300699300699301
11,6,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12 SRSF6,0.9300699300699301
11,5,U2AF1 TIA1 SKIP ESRP1 PRP8 CUGBP SRSF5 U4 SF3BTV2 U12 CA150,0.9300699300699301
10,6,SF3BTV2 TIA1 SKIP ESRP1 PRP8 CUGBP FBP11 nSR100 RBM17 SRM160,0.9300699300699301
6,3,SRSF3 TIA1 SKIP PRP8 CUGBP ESRP2,0.9300699300699301
5,2,TIA1 SKIP PRP8 ESRP2 SF3BTV1,0.923076923076923
5,3,TIA1 SKIP PRP8 ESRP2 U12,0.923076923076923
