Number-Atts,Number-Significant,Atts,AUC
7,4,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17,0.9444444444444444
6,3,U6 FBP11 SF3BTV1 ESRP2 PTB SND1,0.9027777777777778
8,4,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17 nSR100,0.9027777777777778
8,5,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17 SRSF6,0.8958333333333334
7,5,NOVA1 U6 FBP11 U12 SF3BTV1 PTB SND1,0.8888888888888888
8,5,NOVA1 U6 FBP11 U12 SF3BTV1 PTB SND1 U4,0.8888888888888888
8,6,SRSF10 U6 FBP11 U6ATAC SF3BTV1 PTB SND1 U11,0.8888888888888888
8,4,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17 CA150,0.8819444444444443
7,4,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM45,0.875
8,5,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17 RBM22,0.875
4,3,PTB U6 FBP11 SF3BTV2,0.875
5,4,PTB U6 FBP11 SF3BTV2 SRM160,0.875
8,5,NOVA1 U6 FBP11 U12 SF3BTV1 PTB SND1 nSR100,0.875
6,3,U1 U6 FBP11 SF3BTV1 ESRP2 PTB,0.875
5,2,U6 FBP11 SF3BTV1 ESRP2 PTB,0.8680555555555557
6,4,NOVA1 U6 FBP11 U12 SF3BTV1 PTB,0.8680555555555557
9,6,NOVA1 U6 FBP11 U12 SF3BTV1 PTB SND1 U4 SRSF6,0.8680555555555557
8,4,U6 FBP11 SF3BTV1 ESRP2 PTB SND1 RBM17 U4,0.8611111111111112
3,2,PTB U6 FBP11,0.8611111111111112
6,4,SND1 U6 FBP11 SF3BTV1 RAVER1 U2,0.8611111111111112
6,4,U4ATAC U6 FBP11 SF3BTV1 SRSF5 NOVA1,0.8611111111111112
9,7,SRSF10 U6 FBP11 U6ATAC SF3BTV1 PTB SND1 U11 SRSF3,0.8611111111111112
9,3,SC35 U6 FBP11 SAM68TV1 U12 ESRP1 SF3BTV1 ESRP2 PRP8,0.8611111111111112
6,3,CA150 U6 FBP11 SF3BTV1 RAVER1 NOVA1,0.8611111111111112
7,3,SRSF5 U6 FBP11 SF3BTV1 RAVER1 ESRP2 PRP8,0.8541666666666666
5,3,PTB U6 FBP11 SF3BTV2 SF3BTV1,0.8541666666666666
6,5,PTB U6 FBP11 SF3BTV2 SRM160 SRSF1,0.8541666666666666
