Number-Atts,Number-Significant,Atts,AUC
5,5,SRSF10 SRSF3 SRSF9 SKIP U5,0.8888888888888888
5,5,PTB SRSF3 TRA2B SKIP U5,0.875
6,6,PTB SRSF3 TRA2B SKIP U5 U12,0.8611111111111112
6,6,PTB SRSF3 TRA2B SKIP U5 SRM160,0.8611111111111112
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 RAVER1,0.8611111111111112
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 TIA1,0.8611111111111112
4,4,PTB SRSF3 TRA2B SKIP,0.8472222222222222
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 SRSF6,0.8472222222222222
6,6,PTB SRSF3 TRA2B SKIP U5 RBM17,0.8333333333333334
6,6,PTB SRSF3 TRA2B SKIP U5 SRSF1,0.8333333333333334
6,6,PTB SRSF3 TRA2B SKIP U5 SRSF5,0.8333333333333334
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 U1,0.8333333333333334
6,6,PTB SRSF3 TRA2B SKIP U5 U6ATAC,0.8194444444444443
6,6,PTB SRSF3 TRA2B SKIP U5 SAM68TV1,0.8194444444444443
6,6,PTB SRSF3 TRA2B SKIP U5 SRSF4,0.8194444444444443
6,6,PTB SRSF3 TRA2B SKIP U5 TIA1,0.8194444444444443
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 U6ATAC,0.8055555555555557
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 U12,0.8055555555555557
6,6,SRSF10 SRSF3 SRSF9 SKIP U5 U11,0.8055555555555557
