Number-Atts,Number-Significant,Atts,AUC
4,4,PTB SAM68TV1 RAVER1 SF3BTV2,1.0
3,3,PTB SAM68TV1 RAVER1,0.9523809523809524
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 FBP11,0.9523809523809524
4,4,PTB SAM68TV1 RAVER1 U12,0.9285714285714285
4,4,PTB SAM68TV1 RAVER1 MAGOH,0.9285714285714285
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 U11,0.9285714285714285
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 SRSF3,0.9047619047619048
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 U5,0.9047619047619048
4,4,PTB SAM68TV1 RAVER1 TRA2B,0.8809523809523809
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 SRSF1,0.8809523809523809
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 PSF,0.8809523809523809
4,4,PTB SAM68TV1 RAVER1 NOVA1,0.8571428571428571
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 SRSF5,0.8571428571428571
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 RBM45,0.8333333333333334
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 SND1,0.8333333333333334
4,4,PTB SAM68TV1 RAVER1 RBM3,0.8095238095238096
5,5,PTB SAM68TV1 RAVER1 SF3BTV2 SRSF4,0.8095238095238096
