Number-Atts,Number-Significant,Atts,AUC
4,3,FBP11 CUGBP RBM17 RBM22,1.0
5,3,FBP11 CUGBP RBM17 RBM22 U2AF1,1.0
6,5,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10,0.9736842105263158
7,5,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1,0.9736842105263158
8,6,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 SRSF4,0.9736842105263158
13,10,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11 PTB TIA1 MAGOH SND1 SRSF5,0.9736842105263158
5,4,FBP11 CUGBP RBM17 RBM22 U2,0.9736842105263158
5,4,FBP11 CUGBP RBM17 RBM22 RBM3,0.9736842105263158
6,3,FBP11 CUGBP RBM17 RBM22 U2AF1 U2AF2,0.9736842105263158
6,4,FBP11 CUGBP RBM17 RBM22 U2AF1 SRSF5,0.9736842105263158
9,6,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35,0.9736842105263158
10,6,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35 U4,0.9736842105263158
8,6,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 MAGOH,0.9473684210526315
10,7,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11 PTB TIA1,0.9473684210526315
11,8,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11 PTB TIA1 MAGOH,0.9473684210526315
12,9,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11 PTB TIA1 MAGOH SND1,0.9473684210526315
10,5,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35 U4,0.9473684210526315
11,5,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35 U4 U2AF2,0.9473684210526315
6,3,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10,0.9473684210526315
7,4,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11,0.9473684210526315
8,4,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4,0.9473684210526315
9,5,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4 PSF,0.9473684210526315
10,6,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4 PSF SRSF4,0.9473684210526315
11,7,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4 PSF SRSF4 U4ATAC,0.9473684210526315
5,4,FBP11 CUGBP RBM17 RBM22 SRSF10,0.9473684210526315
6,4,FBP11 CUGBP RBM17 RBM22 U2AF1 PSF,0.9473684210526315
6,4,FBP11 CUGBP RBM17 RBM22 U2AF1 U5,0.9473684210526315
9,6,SND1 CUGBP RBM17 RBM22 RBM3 RBM45 U6 SRSF10 U2AF1,0.9473684210526315
10,7,SND1 CUGBP RBM17 RBM22 RBM3 RBM45 U6 SRSF10 U2AF1 SRSF4,0.9473684210526315
11,8,SND1 CUGBP RBM17 RBM22 RBM3 RBM45 U6 SRSF10 U2AF1 SRSF4 SKIP,0.9473684210526315
12,9,SND1 CUGBP RBM17 RBM22 RBM3 RBM45 U6 SRSF10 U2AF1 SRSF4 SKIP SRSF5,0.9473684210526315
11,7,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35 U4 PTB,0.9473684210526315
11,7,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35 U4 PSF,0.9473684210526315
11,7,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35 U4 SRSF4,0.9473684210526315
11,7,SRSF5 CUGBP RBM17 RBM22 U2 SRSF10 U2AF1 FBP11 SC35 U4 U4ATAC,0.9473684210526315
8,6,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 FBP11,0.9210526315789473
8,5,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 SC35,0.9210526315789473
8,6,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 TIA1,0.9210526315789473
8,6,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 U5,0.9210526315789473
9,7,U6ATAC CUGBP RBM22 U2 RBM3 SRSF10 U2AF1 SRSF4 SRSF5,0.9210526315789473
8,5,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11,0.9210526315789473
9,6,RBM22 CUGBP RBM3 RBM45 U6 SRSF10 U2AF1 FBP11 PTB,0.9210526315789473
7,4,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1,0.9210526315789473
8,5,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11,0.9210526315789473
9,5,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35,0.9210526315789473
11,6,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35 U4 PTB,0.9210526315789473
11,6,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35 U4 PSF,0.9210526315789473
12,6,RBM3 CUGBP RBM17 RBM22 U6 SRSF10 U2AF1 FBP11 SC35 U4 U2AF2 U4ATAC,0.9210526315789473
10,5,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4 PSF U2AF2,0.9210526315789473
10,6,U2AF1 CUGBP RBM22 RBM3 U6 SRSF10 FBP11 U4 PSF U5,0.9210526315789473
