Number-Atts,Number-Significant,Atts,AUC
9,8,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 U4ATAC SC35,0.9500000000000001
11,9,ESRP1 SAM68TV1 SRSF10 PSF MAGOH SRSF1 U12 U11 PTB nSR100 TRA2A,0.9500000000000001
12,9,ESRP1 SAM68TV1 SRSF10 PSF MAGOH SRSF1 U12 U11 PTB nSR100 TRA2A ESRP2,0.9500000000000001
7,6,TRA2A SAM68TV1 PSF MAGOH U11 PTB nSR100,0.9500000000000001
8,7,TRA2A SAM68TV1 PSF MAGOH U11 PTB nSR100 U4ATAC,0.9500000000000001
9,7,TRA2A SAM68TV1 PSF MAGOH U11 PTB nSR100 U4ATAC ESRP2,0.9500000000000001
10,9,SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U12 U5 PTB nSR100,0.8999999999999999
11,9,SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U12 U5 PTB nSR100 PRP8,0.8999999999999999
12,9,SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U12 U5 PTB nSR100 PRP8 ESRP2,0.8999999999999999
13,9,SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U12 U5 PTB nSR100 PRP8 ESRP2 U4,0.8999999999999999
14,10,SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U12 U5 PTB nSR100 PRP8 ESRP2 U4 U2,0.8999999999999999
8,7,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 nSR100,0.8999999999999999
8,7,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 PRP8,0.8999999999999999
10,8,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 U4ATAC SC35 CA150,0.8999999999999999
10,8,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 U4ATAC SC35 U6,0.8999999999999999
10,8,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 U4ATAC SC35 SF3BTV1,0.8999999999999999
10,9,MAGOH SAM68TV1 SRSF10 SRSF1 U12 U11 U5 U4ATAC SC35 TRA2B,0.8999999999999999
12,8,TIA1 SAM68TV1 SRSF10 PSF SRSF1 U12 U11 RBM17 nSR100 PRP8 ESRP2 CA150,0.8999999999999999
12,11,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1,0.8999999999999999
13,11,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1 CA150,0.8999999999999999
14,12,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1 CA150 FBP11,0.8999999999999999
15,12,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1 CA150 FBP11 U6,0.8999999999999999
16,13,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1 CA150 FBP11 U6 NOVA1,0.8999999999999999
17,14,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U12 U11 RAVER1 SF3BTV2 PTB SRSF3 ESRP1 CA150 FBP11 U6 NOVA1 SND1,0.8999999999999999
10,9,U11 SAM68TV1 SRSF10 PSF MAGOH U6ATAC U12 PTB SRSF3 nSR100,0.8999999999999999
11,9,U11 SAM68TV1 SRSF10 PSF MAGOH U6ATAC U12 PTB SRSF3 nSR100 ESRP1,0.8999999999999999
12,10,U11 SAM68TV1 SRSF10 PSF MAGOH U6ATAC U12 PTB SRSF3 nSR100 ESRP1 U4ATAC,0.8999999999999999
11,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100,0.8999999999999999
12,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8,0.8999999999999999
13,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8 CUGBP,0.8999999999999999
14,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8 CUGBP ESRP2,0.8999999999999999
15,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8 CUGBP ESRP2 U6,0.8999999999999999
16,10,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8 CUGBP ESRP2 U6 U2AF2,0.8999999999999999
17,11,RBM17 SAM68TV1 SRSF10 PSF MAGOH U6ATAC SRSF1 U11 U5 PTB nSR100 PRP8 CUGBP ESRP2 U6 U2AF2 U2,0.8999999999999999
12,11,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100,0.8999999999999999
13,11,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100 ESRP1,0.8999999999999999
14,12,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100 ESRP1 U4ATAC,0.8999999999999999
15,12,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100 ESRP1 U4ATAC ESRP2,0.8999999999999999
16,12,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100 ESRP1 U4ATAC ESRP2 CA150,0.8999999999999999
17,13,RBM3 SAM68TV1 SRSF10 MAGOH U6ATAC SRSF1 U12 U11 U5 PTB SRSF3 nSR100 ESRP1 U4ATAC ESRP2 CA150 FBP11,0.8999999999999999
