Number-Atts,Number-Significant,Atts,AUC
8,6,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3,0.9428571428571427
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 TRA2A,0.9285714285714285
7,5,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH,0.9142857142857143
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 SRSF9,0.9142857142857143
9,7,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 ESRP1 SKIP SRSF9,0.9071428571428571
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 U4ATAC,0.9071428571428571
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 SKIP,0.9
9,8,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH SRSF5,0.9
9,6,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 U2AF1,0.8928571428571429
8,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH,0.8928571428571429
8,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 ESRP1 SKIP,0.8857142857142857
8,6,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH U2,0.8857142857142857
9,8,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH U2,0.8857142857142857
9,8,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH SKIP,0.8857142857142857
10,9,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH SRSF5 TRA2A,0.8857142857142857
7,5,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 ESRP1,0.8785714285714286
7,6,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1,0.8714285714285714
5,4,SRSF10 SF3BTV2 RAVER1 U6 TRA2B,0.8642857142857143
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 SRSF5,0.8642857142857143
8,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 U5,0.8642857142857143
5,4,RBM22 SF3BTV2 RAVER1 SF3BTV1 U5,0.8571428571428571
6,5,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6,0.8571428571428571
9,7,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 SRSF4,0.8571428571428571
8,6,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 U4,0.8571428571428571
7,5,SF3BTV2 RAVER1 SF3BTV1 SC35 RBM22 U5 U4ATAC,0.85
6,5,U12 SF3BTV2 RAVER1 FBP11 NOVA1 U2AF1,0.85
10,9,U11 SF3BTV2 RAVER1 RBM22 RBM45 SAM68TV1 TRA2B SRSF3 SRSF4 CA150,0.85
10,9,U2 SF3BTV2 U12 U11 SC35 SRSF10 PSF RBM3 SRSF3 SRSF9,0.85
5,4,SRSF4 SF3BTV2 SRSF10 U6 U5,0.85
5,3,CA150 SF3BTV2 SC35 FBP11 NOVA1,0.85
6,4,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1,0.85
5,3,TRA2A SF3BTV2 SF3BTV1 RBM22 nSR100,0.85
6,3,TRA2A SF3BTV2 SF3BTV1 RBM22 nSR100 CA150,0.85
8,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 SAM68TV1,0.85
8,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 U1,0.85
9,8,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH U4ATAC,0.85
7,5,SC35 SF3BTV2 U12 U11 FBP11 SRSF6 ESRP2,0.8428571428571429
6,5,SRSF10 SF3BTV2 RAVER1 U6 TRA2B SRSF1,0.8428571428571429
6,5,SRSF10 SF3BTV2 RAVER1 U6 TRA2B SRSF5,0.8428571428571429
11,7,U6 SF3BTV2 RAVER1 U12 U11 SRSF6 U5 U4 TRA2B CUGBP ESRP1,0.8428571428571429
7,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 U6ATAC,0.8428571428571429
7,5,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 U2AF2,0.8428571428571429
7,5,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 nSR100,0.8428571428571429
7,5,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 CUGBP,0.8428571428571429
7,4,SAM68TV1 SF3BTV2 SC35 SRSF10 U2AF2 SRM160 nSR100,0.8428571428571429
8,7,U1 SF3BTV2 RAVER1 SND1 SF3BTV1 U12 U11 SRSF10,0.8428571428571429
7,6,SRSF1 SF3BTV2 RAVER1 U12 FBP11 SRSF6 ESRP1,0.8428571428571429
9,8,U2 SF3BTV2 U12 U11 SC35 SRSF10 PSF RBM3 SRSF3,0.8428571428571429
9,6,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 PRP8,0.8428571428571429
9,6,CA150 SF3BTV2 SC35 FBP11 NOVA1 SAM68TV1 MAGOH SRSF3 ESRP1,0.8428571428571429
6,5,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2,0.8428571428571429
9,8,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH SRSF3,0.8428571428571429
9,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH CA150,0.8428571428571429
6,5,U12 SF3BTV2 RAVER1 FBP11 NOVA1 CA150,0.8357142857142857
4,3,RBM22 SF3BTV2 RAVER1 SF3BTV1,0.8357142857142857
5,3,ESRP2 SF3BTV2 SRSF10 U6 U6ATAC,0.8357142857142857
7,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 SAM68TV1,0.8357142857142857
7,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 MAGOH,0.8357142857142857
7,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 SRSF3,0.8357142857142857
9,7,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 ESRP1 SKIP SRSF4,0.8357142857142857
9,6,NOVA1 SF3BTV2 FBP11 SRSF6 SRSF10 U6 ESRP1 SKIP CA150,0.8357142857142857
8,4,SAM68TV1 SF3BTV2 SC35 SRSF10 U2AF2 SRM160 nSR100 U2AF1,0.8357142857142857
7,6,U1 SF3BTV2 RAVER1 SND1 SF3BTV1 U12 U11,0.8357142857142857
6,4,CUGBP SF3BTV2 SRSF10 RBM17 U5 nSR100,0.8357142857142857
4,2,PRP8 SF3BTV2 SRSF10 U6,0.8357142857142857
5,4,SRSF5 SF3BTV2 SRSF10 U6 PSF,0.8357142857142857
8,6,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 U2AF2,0.8357142857142857
9,7,SRSF9 SF3BTV2 U12 FBP11 SRSF6 ESRP2 NOVA1 MAGOH U2AF1,0.8357142857142857
9,7,RAVER1 SND1 SF3BTV1 U12 PSF PTB U2AF2 SRM160 SRSF3,0.8285714285714286
