Number-Atts,Number-Significant,Atts,AUC
11,8,RAVER1 SAM68TV1 ESRP1 RBM3 SRSF5 U5 PRP8 NOVA1 SND1 CUGBP RBM17,1.0
12,9,RAVER1 SAM68TV1 ESRP1 RBM3 SRSF5 U5 PRP8 NOVA1 SND1 CUGBP RBM17 U1,1.0
13,10,RAVER1 SAM68TV1 ESRP1 RBM3 SRSF5 U5 PRP8 NOVA1 SND1 CUGBP RBM17 U1 SRSF10,1.0
14,10,RAVER1 SAM68TV1 ESRP1 RBM3 SRSF5 U5 PRP8 NOVA1 SND1 CUGBP RBM17 U1 SRSF10 ESRP2,1.0
15,11,RAVER1 SAM68TV1 ESRP1 RBM3 SRSF5 U5 PRP8 NOVA1 SND1 CUGBP RBM17 U1 SRSF10 ESRP2 U12,1.0
9,7,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1,1.0
10,7,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP,1.0
11,8,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1,1.0
12,9,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1 SRSF10,1.0
13,10,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1 SRSF10 MAGOH,1.0
14,11,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1 SRSF10 MAGOH FBP11,1.0
15,12,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1 SRSF10 MAGOH FBP11 PTB,1.0
16,13,RBM17 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 PRP8 NOVA1 SND1 CUGBP U1 SRSF10 MAGOH FBP11 PTB U12,1.0
9,7,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1,1.0
10,7,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1 CUGBP,1.0
11,7,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1 CUGBP nSR100,1.0
12,8,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1 CUGBP nSR100 RBM17,1.0
13,9,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1 CUGBP nSR100 RBM17 U1,1.0
14,10,ESRP2 SAM68TV1 RAVER1 ESRP1 RBM3 SRSF5 U5 NOVA1 SND1 CUGBP nSR100 RBM17 U1 SRSF10,1.0
