Number-Atts,Number-Significant,Atts,AUC
7,3,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6,1.0
8,4,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1,1.0
9,5,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12,1.0
10,5,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100,1.0
11,6,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1,1.0
12,7,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1 U11,1.0
13,7,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1 U11 U2AF1,1.0
14,8,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1 U11 U2AF1 U5,1.0
15,9,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1 U11 U2AF1 U5 SRM160,1.0
16,10,CUGBP PRP8 FBP11 RBM45 TIA1 CA150 U6 SRSF1 U12 nSR100 SND1 U11 U2AF1 U5 SRM160 SRSF10,1.0
10,7,MAGOH CUGBP ESRP1 RBM45 U2 RBM3 PTB TIA1 U4 SAM68TV1,1.0
11,7,MAGOH CUGBP ESRP1 RBM45 U2 RBM3 PTB TIA1 U4 SAM68TV1 ESRP2,1.0
12,8,MAGOH CUGBP ESRP1 RBM45 U2 RBM3 PTB TIA1 U4 SAM68TV1 ESRP2 TRA2A,1.0
13,9,MAGOH CUGBP ESRP1 RBM45 U2 RBM3 PTB TIA1 U4 SAM68TV1 ESRP2 TRA2A SRSF9,1.0
14,10,MAGOH CUGBP ESRP1 RBM45 U2 RBM3 PTB TIA1 U4 SAM68TV1 ESRP2 TRA2A SRSF9 SRSF6,1.0
8,5,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6,1.0
9,6,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1,1.0
10,7,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1,1.0
11,8,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4,1.0
12,9,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1,1.0
13,10,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12,1.0
14,10,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100,1.0
15,11,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100 SKIP,1.0
16,12,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100 SKIP SRSF9,1.0
17,13,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100 SKIP SRSF9 U11,1.0
18,14,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100 SKIP SRSF9 U11 SRSF3,1.0
19,15,FBP11 CUGBP RBM45 U2 U6ATAC TIA1 CA150 U6 SRSF1 U1 SRSF4 RAVER1 U12 nSR100 SKIP SRSF9 U11 SRSF3 SRSF10,1.0
8,5,RBM45 CUGBP ESRP1 RBM3 U6ATAC PTB TIA1 CA150,1.0
