Number-Atts,Number-Significant,Atts,AUC
10,8,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150,0.9642857142857144
11,9,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150 U11,0.9642857142857144
7,6,SND1 U6ATAC U6 RBM3 PSF TIA1 U11,0.9642857142857144
8,7,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 U11,0.9642857142857144
9,8,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1,0.9285714285714286
12,10,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150 U11 U1,0.9285714285714286
6,5,SND1 U6ATAC U6 RBM3 PSF TIA1,0.9285714285714286
7,6,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5,0.9285714285714286
13,9,U2AF2 U6ATAC RBM3 TRA2B SF3BTV1 PTB SF3BTV2 SRSF1 CA150 TIA1 ESRP2 U11 U1,0.9087301587301588
8,7,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 SKIP,0.9087301587301588
9,8,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 U11 SRSF10,0.9087301587301588
9,8,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 U11 SRSF6,0.9087301587301588
10,8,U11 U6ATAC RBM3 SF3BTV1 MAGOH SF3BTV2 SC35 SRSF1 U2 U12,0.9087301587301588
11,9,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150 TIA1,0.8928571428571428
8,6,SND1 U6ATAC U6 RBM3 PSF TIA1 U11 PRP8,0.8928571428571428
6,5,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150,0.8928571428571428
9,8,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 U11 SRSF9,0.8928571428571428
13,12,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5,0.8888888888888888
14,13,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 TRA2A,0.8888888888888888
9,7,U11 U6ATAC RBM3 SF3BTV1 MAGOH SF3BTV2 SC35 SRSF1 U2,0.8888888888888888
14,13,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 FBP11,0.873015873015873
14,10,U2AF2 U6ATAC RBM3 TRA2B SF3BTV1 PTB SF3BTV2 SRSF1 CA150 TIA1 ESRP2 U11 U1 U12,0.873015873015873
14,10,U2AF2 U6ATAC RBM3 TRA2B SF3BTV1 PTB SF3BTV2 SRSF1 CA150 TIA1 ESRP2 U11 U1 SRSF9,0.873015873015873
14,10,U2AF2 U6ATAC RBM3 TRA2B SF3BTV1 PTB SF3BTV2 SRSF1 CA150 TIA1 ESRP2 U11 U1 SRSF10,0.873015873015873
12,10,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150 U11 FBP11,0.873015873015873
12,10,MAGOH U6ATAC RBM3 TRA2B SF3BTV1 SRSF1 PSF RBM45 SND1 CA150 U11 TRA2A,0.873015873015873
7,5,SC35 U6ATAC RBM3 TRA2B RBM17 U2AF2 SF3BTV2,0.873015873015873
8,5,SC35 U6ATAC RBM3 TRA2B RBM17 U2AF2 SF3BTV2 U2AF1,0.873015873015873
9,6,SC35 U6ATAC RBM3 TRA2B RBM17 U2AF2 SF3BTV2 U2AF1 SAM68TV1,0.873015873015873
10,7,SC35 U6ATAC RBM3 TRA2B RBM17 U2AF2 SF3BTV2 U2AF1 SAM68TV1 U11,0.873015873015873
10,5,U2 U6ATAC RBM3 TRA2B SF3BTV1 U2AF2 SF3BTV2 SC35 U2AF1 U4,0.873015873015873
11,6,U2 U6ATAC RBM3 TRA2B SF3BTV1 U2AF2 SF3BTV2 SC35 U2AF1 U4 U11,0.873015873015873
12,7,U2 U6ATAC RBM3 TRA2B SF3BTV1 U2AF2 SF3BTV2 SC35 U2AF1 U4 U11 SRSF10,0.873015873015873
14,9,CA150 U6ATAC U6 RBM3 TRA2B SF3BTV1 PTB RBM17 U2AF2 MAGOH SRM160 SRSF1 U2AF1 SAM68TV1,0.873015873015873
8,6,SRSF3 U6ATAC RBM3 SRM160 SF3BTV2 CA150 U5 ESRP2,0.873015873015873
12,11,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1,0.8531746031746031
14,12,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 ESRP2,0.8531746031746031
14,13,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 U11,0.8531746031746031
14,13,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 SRSF9,0.8531746031746031
15,14,U6ATAC U6 RBM3 TRA2B PTB RBM22 MAGOH SRSF1 U2 PSF RBM45 SND1 U5 TRA2A SRSF10,0.8531746031746031
8,5,TRA2B U6ATAC SF3BTV1 PTB U2AF2 SF3BTV2 CA150 SRSF3,0.8531746031746031
5,4,SRM160 U6ATAC SRSF3 U5 ESRP2,0.8531746031746031
10,8,SF3BTV2 U6ATAC RBM17 U2AF2 U2AF1 U2 SAM68TV1 SRSF3 U5 SRSF5,0.8531746031746031
11,8,SF3BTV2 U6ATAC RBM17 U2AF2 U2AF1 U2 SAM68TV1 SRSF3 U5 SRSF5 PRP8,0.8531746031746031
10,8,U2AF1 U6ATAC U6 RBM3 TRA2B PTB MAGOH SF3BTV2 SRSF1 SAM68TV1,0.8531746031746031
7,5,SND1 U6ATAC U6 RBM3 PSF TIA1 nSR100,0.8531746031746031
12,8,TIA1 U6ATAC RBM3 SF3BTV1 PTB RBM22 U2AF2 MAGOH SF3BTV2 SC35 SRSF1 U2AF1,0.8531746031746031
13,9,TIA1 U6ATAC RBM3 SF3BTV1 PTB RBM22 U2AF2 MAGOH SF3BTV2 SC35 SRSF1 U2AF1 U5,0.8531746031746031
14,10,TIA1 U6ATAC RBM3 SF3BTV1 PTB RBM22 U2AF2 MAGOH SF3BTV2 SC35 SRSF1 U2AF1 U5 U11,0.8531746031746031
11,9,ESRP2 U6ATAC U6 RBM3 SRSF3 U5 SRSF5 U11 U12 SRSF9 SRSF4,0.8531746031746031
10,7,U11 U6ATAC RBM3 SF3BTV1 MAGOH SF3BTV2 SC35 SRSF1 U2 ESRP2,0.8531746031746031
11,9,U11 U6ATAC RBM3 SF3BTV1 MAGOH SF3BTV2 SC35 SRSF1 U2 U12 TRA2A,0.8531746031746031
11,8,U12 U6ATAC U6 RBM3 SF3BTV1 SRSF1 U2 SAM68TV1 ESRP2 FBP11 SRSF10,0.8531746031746031
8,7,SRSF4 U6ATAC RBM3 TRA2B SF3BTV1 RBM17 SRM160 TIA1,0.8531746031746031
9,5,TRA2B U6ATAC SF3BTV1 PTB U2AF2 SF3BTV2 CA150 SRSF3 ESRP2,0.8373015873015873
9,5,TRA2B U6ATAC SF3BTV1 PTB U2AF2 SF3BTV2 CA150 SRSF3 PRP8,0.8373015873015873
7,5,U2AF2 U6ATAC RBM3 TRA2B SF3BTV1 PTB SF3BTV2,0.8373015873015873
