Algorithm	Execution	ESRP1	FBP11	NOVA1	PRP8	RAVER1	RBM22	SAM68TV1	SF3BTV2	SKIP	SND1	SRSF10	SRSF3	SRSF5	SRSF6	TIA1	TRA2A	TRA2B	U1	U12	U2	U2AF2	U4ATAC	U5	U6	U6ATAC	AUC
SimpleLogistic	1		1					1	1			1		1			1				1	1	1		1		0.854
	2					1			1		1	1				1	1				1	1	1		1	1	0.798
	3			1		1			1								1		1		1	1	1	1	1		0.860
IBk	1								1	1	1		1					1							1	1	0.864
	2								1	1	1		1					1							1	1	0.864
	3								1	1	1		1					1							1	1	0.864
RandomForest	1		1		1					1							1		1	1							0.798
	2	1								1							1		1	1							0.789
	3	1								1							1		1	1							0.807
HierarchicalClusterer	1						1				1						1	1	1	1					1		0.780
SimpleKMeans	1														1		1										0.756

Average		0.182	0.182	0.091	0.091	0.182	0.091	0.091	0.545	0.545	0.455	0.182	0.273	0.091	0.091	0.091	0.727	0.364	0.455	0.364	0.273	0.273	0.273	0.091	0.636	0.364
