Number-Atts,Number-Significant,Atts,AUC
8,7,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP,1.0
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SRSF6,0.9916666666666668
11,10,U2 RBM22 TRA2A U12 MAGOH SRSF9 U6ATAC SRSF1 CUGBP TIA1 SRM160,0.9916666666666668
9,7,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SC35,0.9833333333333333
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP U11,0.9833333333333333
12,11,U2 RBM22 TRA2A U12 MAGOH SRSF9 U6ATAC SRSF1 CUGBP TIA1 SRM160 U11,0.9833333333333333
9,7,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP PRP8,0.975
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP NOVA1,0.975
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SRM160,0.975
9,8,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11,0.975
10,9,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 SRSF10,0.975
4,3,TRA2A U4ATAC U12 SF3BTV1,0.9666666666666667
6,5,TRA2A U4ATAC U12 RBM45 SRSF1 PRP8,0.9666666666666667
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SRSF5,0.9666666666666667
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP RAVER1,0.9666666666666667
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP TIA1,0.9666666666666667
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SRSF10,0.9666666666666667
8,7,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP,0.9666666666666667
10,8,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 SC35,0.9666666666666667
7,6,TRA2B RBM22 TRA2A U4ATAC U12 CUGBP RBM3,0.9666666666666667
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 CUGBP,0.9666666666666667
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 U2AF1,0.9666666666666667
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 nSR100,0.9666666666666667
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 U2AF2,0.9666666666666667
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 U4,0.9666666666666667
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP FBP11,0.9583333333333335
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP U2,0.9583333333333335
11,9,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 SRSF10 nSR100,0.9583333333333335
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 PRP8,0.9583333333333335
7,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 ESRP2,0.9583333333333335
9,8,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP SRSF3,0.95
9,7,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1 CUGBP U2AF2,0.95
10,8,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 CA150,0.95
10,9,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 TIA1,0.95
11,9,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1 CUGBP FBP11 SRSF10 U4,0.95
10,9,U2 RBM22 TRA2A U12 MAGOH SRSF9 U6ATAC SRSF1 CUGBP TIA1,0.95
11,8,U2AF2 RBM22 TRA2A U12 SND1 MAGOH SF3BTV1 SKIP SRSF1 CUGBP PTB,0.95
