Number-Atts,Number-Significant,Atts,AUC
7,6,SRSF5 U4ATAC U12 SRM160 U11 RBM3 MAGOH,1.0
7,6,U5 U4ATAC U12 SRM160 U11 RBM3 CUGBP,1.0
7,5,CUGBP U4ATAC SRM160 U11 MAGOH PSF U6,1.0
8,7,U5 U4ATAC U12 SRM160 U11 RBM3 CUGBP PSF,1.0
8,7,U4ATAC U12 SRM160 U11 RBM3 MAGOH nSR100 ESRP2,1.0
9,7,U5 U4ATAC U12 SRM160 U11 RBM3 CUGBP PSF U2AF2,1.0
9,7,U4ATAC U12 SRM160 U11 RBM3 MAGOH nSR100 ESRP2 SRSF9,1.0
16,11,SRSF6 U4ATAC U12 SRM160 U11 RBM3 RBM22 NOVA1 PTB FBP11 SC35 U6ATAC CUGBP U5 SKIP U2AF2,0.988095238095238
17,11,SRSF6 U4ATAC U12 SRM160 U11 RBM3 RBM22 NOVA1 PTB FBP11 SC35 U6ATAC CUGBP U5 SKIP U2AF2 SRSF4,0.988095238095238
4,3,PTB U4ATAC SF3BTV2 RBM3,0.9761904761904762
5,4,PTB U4ATAC SF3BTV2 RBM3 RAVER1,0.9761904761904762
6,5,PTB U4ATAC SF3BTV2 RBM3 RAVER1 PSF,0.9761904761904762
7,5,PTB U4ATAC SF3BTV2 RBM3 RAVER1 PSF U6,0.9761904761904762
8,6,U5 U4ATAC U12 SRM160 U11 RBM3 CUGBP ESRP2,0.9761904761904762
8,5,PTB U4ATAC SF3BTV2 RBM3 RAVER1 PSF U6 SRSF5,0.9761904761904762
8,7,U4ATAC U12 SRM160 U11 RBM3 MAGOH nSR100 CUGBP,0.9761904761904762
9,5,PTB U4ATAC SF3BTV2 RBM3 RAVER1 PSF U6 SRSF5 SRSF4,0.9761904761904762
14,7,ESRP1 U4ATAC U12 SRM160 SF3BTV2 U11 RBM3 MAGOH nSR100 SF3BTV1 RBM45 PRP8 CUGBP ESRP2,0.9761904761904762
4,3,SRSF4 U4ATAC U12 SRM160,0.9642857142857143
4,2,U2 U4ATAC SF3BTV2 RBM3,0.9642857142857143
5,4,CUGBP U4ATAC SRM160 U11 MAGOH,0.9642857142857143
6,5,CUGBP U4ATAC SRM160 U11 MAGOH PSF,0.9642857142857143
15,11,SRSF6 U4ATAC U12 SRM160 U11 RBM3 RBM22 NOVA1 PTB FBP11 SC35 U6ATAC CUGBP U5 SKIP,0.9642857142857143
15,7,ESRP1 U4ATAC U12 SRM160 SF3BTV2 U11 RBM3 MAGOH nSR100 SF3BTV1 RBM45 PRP8 CUGBP ESRP2 U2AF2,0.9642857142857143
