mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,0.95616458704694,0,1,0.0350090801186536,0,0
5,0.958366013071895,0.04,1,0.0321906167601429,0.091350027839114,0
8,0.954942067736185,0.175,0.996969696969697,0.0362942759523976,0.172581814681098,0.00924632050392013
12,0.946898395721925,0.221666666666667,0.989988116458705,0.042143543312337,0.148372395734826,0.0164552519212121
15,0.944359774212715,0.236666666666667,0.990998217468806,0.0412342257828656,0.184733420857216,0.0139874758271688
19,0.940490196078431,0.285,0.990998217468806,0.0454920947712465,0.210970663101899,0.0139874758271688
22,0.937620320855615,0.278333333333333,0.989988116458705,0.044183935234385,0.210370499658191,0.0164552519212121
26,0.931896910279263,0.293333333333333,0.986957813428402,0.0526057634759016,0.214449308105963,0.0171318221134175
29,0.932666369578134,0.301666666666667,0.986957813428402,0.0501030318335902,0.207399054520728,0.0188899059251234
33,0.930095068330362,0.293333333333333,0.986957813428402,0.0529461294390897,0.224274052388395,0.0188899059251234
