N,S
MAGOH,3.1665729810755,3.1665729810755
RBM22,35.9377927674723,35.9377927674723
SRRM4,91.3528199362938,91.3528199362938
PSF,99.9812628817688,99.9812628817688
NOVA1,36.2750608956342,36.2750608956342
SRSF6,88.1956155143339,88.1956155143339
RBM3,44.6505527449878,44.6505527449878
RBM45,75.1733183436387,75.1733183436387
SRSF1,100,100
SNRNP200,0,0
SRRM1,21.1729436012741,21.1729436012741
SF3B1,34.3264005995878,34.3264005995878
U2AF1,56.0052463931047,56.0052463931047
U2AF2,31.0848791455874,31.0848791455874
TCERG1,2.64193367060145,2.64193367060145
PRPF8,59.6027730934982,59.6027730934982
CELF1,58.6659171819374,58.6659171819374
ESRP1,37.6241334082818,37.6241334082818
ESRP2,27.7309349821997,27.7309349821997
RBM17,20.0112422709387,20.0112422709387
SNW1,1.89244894135282,1.89244894135282
SND1,21.4165261382799,21.4165261382799
TIA1,12.3290237961402,12.3290237961402
SRSF2,10.6801573917931,10.6801573917931
SRSF4,43.9010680157392,43.9010680157392
SRSF5,18.5684841671351,18.5684841671351
SRSF9,7.4761101742552,7.4761101742552
TRA2A,17.3130972456436,17.3130972456436
TRA2B,28.4616825932171,28.4616825932171
KHRSB1,21.4727374929736,21.4727374929736
RAVER1,11.6919617762788,11.6919617762788
PTBP1,12.6288176878396,12.6288176878396
SRSF3,24.4894135281993,24.4894135281993
