Number-Atts,Number-Significant,Atts,AUC
3,0,U2AF2 RBM3 SRSF3,0.9074074074074073
4,0,U2AF2 RBM3 SRSF3 SF3B1,0.8888888888888888
2,0,SRSF3 U2AF2,0.8888888888888888
5,0,SF3B1 U2AF2 RBM3 SFPQ SRRM4,0.8888888888888888
6,0,RBM3 SRSF3 SFPQ SRRM4 SF3B1 SRRM1,0.8842592592592593
3,0,RBM3 SRSF3 SFPQ,0.8703703703703703
4,0,RBM3 SRSF3 SFPQ SRRM4,0.8703703703703703
5,0,RBM3 SRSF3 SFPQ SRRM4 SF3B1,0.8703703703703703
2,0,SFPQ U2AF2,0.8703703703703703
3,0,SFPQ U2AF2 SRRM4,0.8703703703703703
6,0,SF3B1 U2AF2 RBM3 SFPQ SRRM4 SRRM1,0.8703703703703703
4,0,U2AF2 RBM3 SRSF3 SRRM1,0.8518518518518519
2,0,RBM3 SRSF3,0.8518518518518519
3,0,SRSF3 U2AF2 SF3B1,0.8518518518518519
4,0,SRRM1 U2AF2 RBM3 SFPQ,0.8518518518518519
5,0,SRRM1 U2AF2 RBM3 SFPQ SRRM4,0.8518518518518519
