Number-Atts,Number-Significant,Atts,AUC
6,0,RBM3 U2AF2 SRSF3 SFPQ SRRM1 SRRM4,0.925925925925926
4,0,SFPQ RBM3 SRRM1 SRRM4,0.925925925925926
5,0,RBM3 U2AF2 SRSF3 SFPQ SRRM1,0.9074074074074074
3,0,SFPQ RBM3 SRRM1,0.9074074074074074
2,0,SRSF3 RBM3,0.9055177626606197
3,0,SRSF3 RBM3 SRRM1,0.9055177626606197
2,0,SFPQ RBM3,0.9055177626606197
4,0,SRRM1 RBM3 U2AF2 SRSF3,0.9055177626606197
3,0,SRSF3 RBM3 SF3B1,0.8972033257747544
4,0,SRSF3 RBM3 SRRM1 SRRM4,0.8972033257747544
2,0,SRRM4 RBM3,0.8972033257747544
3,0,SRRM4 RBM3 SFPQ,0.8953136810279667
3,0,SRSF3 RBM3 SFPQ,0.8888888888888887
4,0,U2AF2 SRSF3 SFPQ SRRM4,0.8851095993953135
3,0,SRRM4 RBM3 SRRM1,0.8786848072562359
4,0,RBM3 U2AF2 SRSF3 SFPQ,0.8767951625094482
5,0,RBM3 U2AF2 SRSF3 SFPQ SF3B1,0.8703703703703705
3,0,SFPQ RBM3 SF3B1,0.8703703703703705
5,0,SF3B1 RBM3 U2AF2 SRSF3 SRRM1,0.866591080876795
4,0,SF3B1 RBM3 U2AF2 SRSF3,0.8582766439909297
3,0,SFPQ RBM3 U2AF2,0.8518518518518517
