RNU4,RNU6,PRPF40A,SF3B1,SNRNP200,U2AF2,RNU12,ESRP1,ESRP2,KHDRBS1,MAGOH,NOVA1,PTBP1,RBM3,RBM45,SND1,SRRM1,SRRM4,SRSF2,SRSF3,SRSF4,SRSF5,SRSF9,SRSF10,TIA1,TRA2A,Class
768667925,51069582.7598079,75098.1199,842670.419,1119407552,100092.153,69472.5001,3350606.16,229908.445,1710995.25,57306.5497,753869.125,147786.662,1034188.22,637010.851,1298652,13153802.3,48531.6817,100148.586,846935.771,34942.8642,18404573.9,3243480.13,383241.54,718142.338,5815172.43,N
1975747133,81528572.3,427727.653,3485299.72,2301189471,424738.623,338947.34,3236398.92,964291.685,4513736.21,311294.252,1567932.22,192775.02,1384207.6,585309.844,2649335.8,17127034,230486.466,461264.335,3202032.08,664117.059,25029364.6,15073430.8,2621846.49,1997422.63,18863613.2,N
1.2319e+10,170463904,2498054.81,13091102.7,4621318891,1647342.16,176266.986784632,8340772.58,5138518.53,18184985.7,1191366.62,4939725.13,2083146.21,6568335.51,3012376.68,6883609.44,33329078,38468.9801,1493503.89,23504448.2,3964395.37,160927025,41170598.5,7996324.66,8939599.19,42703921.9,N
1090901817,27816885.2,186701.557,1975158.85,2426177307.20233,147843.735,134642.096,3521050.44,589459.232,2873997.05,112535.567,1107781.11,291634.777,2549150.95,569410.714,1852799.97,12490310.7,54299.3734273764,214164.938,2303274.18,168751.01,46902254.4,7743753.82,862789.858,968649.485,14352616.3,N
7984153784,57069550.3,1188453.15,4277485.13,3726774308,215962.07,180992.947,3464920.48,2043590.13,6018410,236772.786,563889.961,437727.822,3162592.79,947507.815,4543518,22874884.3,20395.3556,568593.519,6901328.03,839675.251,87814334.6,14063215,896674.762,2483593.73,8509620.52,N
770102525,124635291,1104643.15,7625924.03,1362739246,1479846.9,206174.283,2477796.9,1433809.43,17630263.6,708152.561,5042989.71,1966900.26,7288853.98,3760917.75,6905267.99,15620515.4,146920.366,978807.581,15615653.3,3850064.37,191313347,27855082.4,28665612.6,6384753.23,105633555,N
5569352740,66982967.7,791158.111,5054154.42,3086785233,249157.379,92657.9676,3950532.93,660205.422,8065272.33,227385.994,1556957.72,716343.922,4029715.95,1697688.93,3237045.24,16836275.6,95228.1464,261937.466,9087688.33,407941.958,90126929,15402451.3,2631947.9,1753606.64,13270349.7,N
8617260491,232130823,1979034.13,11613912.1,4824402796,1294749.01,230629.234,3198449.14,1360076.82,20485963.1,614123.88,4424979.83,1427991.9,8786154.99,4343043.1,6077276.66,28253344.9,84051.6969147923,740856.931,17437081.5,1552160.33,172833725,36379053.3,11537012.9,5928773.97,41489226.5,N
1.0284e+10,203311085.520595,2232315.75,10628286.2,5793413712,1049512.97,131300.416,2128409.46,1753867.29,20271611.5,408406.445,2734260.49,1304264.42,6560597.36,4021980.66,6277454.01,23111711.8,109591.785,1102721.29,21218815.5,2078287.11,204029569,32845168.7,11002175.2,6398529.14,37360267.6,N
5862740022,139373521,1300619.76,6426458.87,5088802647,528564.642,831685.344,3590944.82,1486480.91,11787866.5,557933.824,2556383.8,1567071.21,6081901.04,2917187.18,4843193.15,15849125.2,66286.4630758171,1221371.89,9667583.91,2797591.22,68783617,29622178.3,8177230.69,4421139.47,25080955.6,N
