support,itemsets
0.6777777777777778,frozenset({'SRSF9'})
0.6555555555555556,frozenset({'SND1'})
0.6444444444444445,frozenset({'SRRM4'})
0.6333333333333333,frozenset({'SRSF10'})
0.5888888888888889,"frozenset({'SRSF9', 'SND1'})"
0.5888888888888889,"frozenset({'SRRM4', 'SND1'})"
0.5777777777777777,"frozenset({'SRSF9', 'SRRM4'})"
0.5333333333333333,"frozenset({'SRSF9', 'SRRM4', 'SND1'})"
0.5,frozenset({'RNU6'})
0.4888888888888889,frozenset({'SRSF4'})
0.4777777777777778,"frozenset({'SRSF4', 'RNU6'})"
0.4111111111111111,frozenset({'SRSF5'})
0.4111111111111111,frozenset({'U2AF2'})
0.4,"frozenset({'SRSF9', 'SRRM4', 'U2AF2'})"
0.4,"frozenset({'SRRM4', 'SRSF10'})"
0.4,"frozenset({'SRSF4', 'SRSF5'})"
0.4,"frozenset({'SRSF9', 'U2AF2'})"
0.4,"frozenset({'SRRM4', 'U2AF2'})"
0.3888888888888889,"frozenset({'SRSF4', 'RNU6', 'SRSF5'})"
0.3888888888888889,"frozenset({'RNU6', 'SRSF10'})"
0.3888888888888889,"frozenset({'RNU6', 'SRSF5'})"
0.3888888888888889,"frozenset({'SRSF9', 'SRSF10'})"
0.37777777777777777,"frozenset({'SRSF9', 'SRRM4', 'U2AF2', 'SND1'})"
0.37777777777777777,frozenset({'TIA1'})
0.37777777777777777,"frozenset({'SRSF9', 'U2AF2', 'SND1'})"
0.37777777777777777,"frozenset({'U2AF2', 'SND1'})"
0.37777777777777777,"frozenset({'SRRM4', 'U2AF2', 'SND1'})"
0.36666666666666664,"frozenset({'SRSF4', 'RNU6', 'SRSF10'})"
0.36666666666666664,"frozenset({'RNU6', 'SRSF5', 'SRSF10'})"
0.36666666666666664,frozenset({'SRSF3'})
0.36666666666666664,"frozenset({'SRSF9', 'SRRM4', 'SRSF10'})"
0.36666666666666664,"frozenset({'SRSF4', 'RNU6', 'SRSF5', 'SRSF10'})"
0.36666666666666664,"frozenset({'SRSF10', 'SND1'})"
0.36666666666666664,"frozenset({'SRSF4', 'SRSF10'})"
0.36666666666666664,"frozenset({'SRSF5', 'SRSF10'})"
0.36666666666666664,"frozenset({'SRSF4', 'SRSF5', 'SRSF10'})"
0.35555555555555557,"frozenset({'SRRM4', 'SRSF10', 'SND1'})"
0.35555555555555557,"frozenset({'SRSF3', 'SND1'})"
0.34444444444444444,"frozenset({'SRRM4', 'SRSF3', 'SND1'})"
0.34444444444444444,"frozenset({'SRRM4', 'SRSF3'})"
0.34444444444444444,"frozenset({'SRSF9', 'TIA1'})"
0.3333333333333333,"frozenset({'SRSF9', 'SRSF10', 'SND1'})"
0.3333333333333333,"frozenset({'SRSF9', 'SRRM4', 'SRSF10', 'SND1'})"
0.32222222222222224,"frozenset({'SRSF9', 'SRSF3'})"
0.32222222222222224,"frozenset({'SRSF9', 'SRSF3', 'SND1'})"
0.3111111111111111,"frozenset({'SRSF9', 'SRRM4', 'SRSF3'})"
0.3111111111111111,"frozenset({'SRSF9', 'SRRM4', 'SRSF3', 'SND1'})"
0.3,"frozenset({'TIA1', 'SND1'})"
