ID,NumberAtts,Atts,ROC,Sens,Spec
1,2,SRSF4 ESRP2,0.843373493975904,0.867469879518072,0.819277108433735
2,3,SRSF4 ESRP2 RNU6,0.819277108433735,0.831325301204819,0.819277108433735
3,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
7,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
8,2,SRSF4 ESRP2,0.843373493975904,0.867469879518072,0.819277108433735
9,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
10,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
11,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
12,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.819277108433735
6,2,SRSF4 ESRP2,0.837349397590361,0.867469879518072,0.807228915662651
18,3,SRSF4 ESRP2 SNRNP200,0.813253012048193,0.855421686746988,0.710843373493976
15,3,SRSF4 ESRP2 SRSF2,0.807228915662651,0.891566265060241,0.698795180722892
4,3,SRSF4 ESRP2 U2AF2,0.843373493975904,0.891566265060241,0.686746987951807
5,3,SRSF4 ESRP2 SRSF9,0.843373493975904,0.903614457831325,0.686746987951807
13,3,SRSF4 ESRP2 SRSF2,0.849397590361446,0.903614457831325,0.686746987951807
16,4,SRSF4 ESRP2 SRSF2 KHDRBS1,0.837349397590361,0.91566265060241,0.674698795180723
17,4,SRSF4 ESRP2 RNU4 SRSF2,0.837349397590361,0.903614457831325,0.674698795180723
14,3,SRSF4 ESRP2 NOVA1,0.831325301204819,0.867469879518072,0.662650602409639
20,4,SRSF4 ESRP2 SRRM1 SRSF2,0.837349397590361,0.891566265060241,0.650602409638554
19,4,SRSF4 ESRP2 PTBP1 SRSF2,0.837349397590361,0.891566265060241,0.614457831325301
