U2,U11,SRSF6,ESRP2,RBM22,ESRP1,Clase
1,0.374042,0.079538,0.34778,0,0.542606,EI
0.92132,0.465367,0,0,0.063628,0.093343,EI
0.034277,0.010651,0.447815,1,0.421147,0.13045,EI
0.11787,0.043675,0.203252,0.552395,0.343194,0.105977,EI
0.019112,0.022045,0.324461,0.9955,0.855346,0.037881,EI
0.012979,0.01486,0.564869,0.689035,0.383283,0.040374,EI
0.002149,0.011768,1,0.97063,0.711116,0,EI
0.128616,0.136339,0.2646,0.507754,0.611839,0.093343,EI
0.032232,0.047439,0.11345,0.553751,0.837537,0.198884,E2
0.00261,0.094831,0.08841,0.422154,0.631657,0.352575,E2
0.003952,0.003548,0.154807,0.45631,0.375828,0.044298,E2
0.113067,0.052887,0.197042,0.6855,0.631262,0.117478,E2
0.026739,0.032004,0.218466,0.46844,0.957493,0.252057,E2
0.186274,0.112285,0.435354,0.46844,0.951244,0.128941,E2
0,0,0.55088,0.576323,0.847726,0.047132,E2
0.103115,0.136313,0.149084,0.503951,1,0.141166,E2
0.024672,0.182126,0.095759,0.359774,0.664415,0.188401,E2
0.187895,0.267502,0.68803,0.294264,0.875739,0.160904,E2
0.072481,0.087691,0.168265,0.560436,0.644435,0.160904,E2
0.114882,0.306552,0.095622,0.453495,0.636793,0.241031,E2
0.764612,0.747942,0.056153,0.246187,0.621699,0.968342,E3
0.346057,0.294972,0.092828,0.541364,0.331853,0.459174,E3
0.055387,1,0.155403,0.338552,0.314321,1,E3
0.040404,0.066782,0.128891,0.566517,0.302665,0.039408,E3
0.073594,0.887053,0.044609,0.179635,0.328567,0.217112,E3
0.073594,0.137424,0.063556,0.310684,0.238678,0.405301,E3
0.28527,0.116354,0.134465,0.5288,0.328567,0.217112,E3
0.01985,0.110188,0.058199,0.612837,0.642728,0.172602,E3
0.037646,0.015685,0.268405,0.782063,0.384553,0.124582,E3
0.020602,0.097681,0.224923,0.589172,0.433249,0.159968,E3
0.14549,0.126978,0.128891,0.501127,0.266611,0.198677,E3
0.330922,0.356881,0.162748,0.452731,0.300037,0.53629,E3
