@relation 3groups-splicing-expression

@attribute CA150 numeric
@attribute CUGBP numeric
@attribute ESRP1 numeric
@attribute ESRP2 numeric
@attribute FB11 numeric
@attribute NOVA1 numeric
@attribute PRP8 numeric
@attribute RAVER1 numeric
@attribute RBM22 numeric
@attribute RBM3 numeric
@attribute RBM45 numeric
@attribute SC35 numeric
@attribute SF3BTV1 numeric
@attribute SF3BTV2 numeric
@attribute SKIP numeric
@attribute SND1 numeric
@attribute SRSF1 numeric
@attribute SRSF4 numeric
@attribute TIA1 numeric
@attribute TRA2A numeric
@attribute U11 numeric
@attribute U12 numeric
@attribute U2 numeric
@attribute U2AF1 numeric
@attribute U4 numeric
@attribute U4ATAC numeric
@attribute U5 numeric
@attribute U6 numeric
@attribute U6ATAC numeric
@attribute Clase {G1,G3,G2}

@data
5351149.243378,2232689.152904,1632946.051376,3814729.713902,4875444.126705,535495.203371,5843523.19826,332145.378105,2686327.527492,4700087.245763,298915.476985,1910036.686664,1326529.489073,13635475.825231,20000.09284,10840263.130059,336618.047783,951808.376861,975262.795832,3283683.351988,82585265.341989,2024.268225,1126573138.18517,4334693.076622,3081593668.62627,35.387782,10171272.571394,30983856.603801,181496.019566,G1
3159869.63498,1063914.807835,403185.072324,686942.387236,1893836.873238,387742.45213,1691134.58657,252319.517482,2905000.030931,3656056.782896,207072.708672,636029.239983,418634.683844,18477506.008111,2596.371673,4816660.634901,100512.359513,525994.434948,1049899.507746,1609256.564015,101013669.194918,3488.146325,1038946216.77203,6093657.182337,3575726583.039,3501.142567,4123975.019918,8276213.320554,201083.776477,G1
3159869.63498,3183484.942083,504755.698675,9680531.038916,8318536.949234,387742.45213,16095588.813773,670553.372929,4133689.649415,5685125.800065,313712.337853,4010827.579019,1749839.178672,9624153.458424,104174.049212,20074123.458851,154945.732481,2754752.451712,869299.382217,5013860.770952,9256739.751546,111.07431,51032670.586951,7333654.556656,146833071.703975,3.537731,24135666.033181,6640212.99831,15993.487463,G3
2733982.265736,3176750.640497,437767.410406,5654954.933257,6794394.005485,299002.561281,11092377.254774,440321.975121,3865785.416969,4515194.647576,256353.25133,2630690.095025,1068244.119041,10054437.910978,52381.194746,18164542.983527,133768.089752,1849514.532624,1026598.510197,3418054.807769,15920586.403594,61.067132,144131702.40202,5940156.583302,752625030.458166,149.684919,16312554.632201,13067961.373229,44884.342339,G3
3417189.855039,4716835.939869,251368.437966,9640063.816989,8289435.459914,556536.243096,17345050.651471,922798.909479,5625907.761074,7820158.712047,313712.337853,3643359.063203,1535945.844538,11416702.007384,79170.313771,29921576.126343,76383.294991,3881740.255888,3232008.276991,6050152.126251,11555904.339135,764.919934,34143350.158891,7810922.870428,952845224.619383,31.57314,20976235.455247,7288570.945127,21263.086816,G3
2285001.226061,2709486.229975,258193.691027,6883841.03747,5955443.453673,300798.657634,14299989.562307,657468.702954,4003559.834946,5587968.616375,319438.738364,2691970.419037,1308747.949429,6813102.977864,82915.972478,17200358.092686,83447.612392,3629238.721971,1001708.85997,5011048.177851,10106146.755815,239.441448,27312887.666148,5887643.72765,555540696.722054,8.199844,22301513.949989,8029819.863855,15573.237863,G3
2066161.248463,2632557.074584,147677.073926,9416387.684539,5714954.001719,177184.438671,13897705.494492,843659.334168,5130230.859585,6346650.015601,328321.984193,2818585.386688,761368.311156,7038016.329857,37354.281579,22721721.194126,31743.674978,3597160.803876,1713327.406235,4188983.197592,9482093.852796,546.793598,15251330.460772,9290930.798318,425857426.306106,35.387782,18362617.676434,8276213.320554,24284.893118,G3
3424772.305246,3010313.147989,403185.072324,5253474.482833,6413619.352443,617970.992435,13022429.721549,644893.193753,4789041.288561,6698668.333228,379478.552193,2799179.488157,1401365.005091,14745190.043638,53945.924035,15666251.08236,100512.359513,2640588.662117,2063390.862369,5897284.670242,34619175.60875,805.924172,156099608.484883,5738722.377433,1694085324.24736,657.621775,20093409.915521,17794363.86227,38416.108686,G2
3918057.655298,3521665.082841,692078.904441,5667150.356959,8415550.902117,931641.450014,17131735.184254,796053.224286,5564703.186326,8724634.565111,309637.938281,2506564.90203,1991804.258403,12199975.322584,80964.850429,17415655.375852,197316.860732,3031643.623321,1959207.863975,6228159.35224,16680256.491557,594.695469,48755357.322523,6633452.974084,410072708.770098,36.134353,20430396.247695,7492185.402727,16353.287389,G3
4195919.921202,2778577.678002,1112776.320232,4483620.112615,7684760.537058,558318.977162,12546847.192448,567592.962761,4857152.47074,5907785.590961,361225.710011,2255038.528585,2624724.643419,9151255.540543,67161.443766,13562606.335832,405613.659691,3300854.598455,981871.194034,5940948.226647,26243461.564369,3738.992018,15765621.433403,5474519.808697,797638091.125019,58.46381,18666779.714042,5470431.47305,23969.267754,G2
2024827.848776,2882676.049919,268934.593916,4790806.939269,6769564.085009,220479.651084,12942623.71711,456361.459175,3977940.746061,3319146.521187,283556.534128,2427875.395942,1772174.988758,6561042.022301,150820.496496,13213763.658762,97415.322971,2442252.409329,775847.56808,3811810.709081,7823499.83189,45.954686,17259790.763084,4768672.057152,573262254.500422,27.346952,13751762.00441,5223372.957539,18371.752778,G3
2808829.395286,3407864.879903,469248.328363,6852043.235714,6670649.12636,225641.394571,13009647.813165,552078.279976,4855795.684509,4333980.108864,327384.069326,2293767.92106,1369377.624089,10382287.142316,67161.443766,20919326.42767,116800.342721,2169245.371665,1206211.611204,4031220.182866,17779576.106647,1043.378909,138782826.84003,6140362.131178,1425061176.82499,55.568616,15485804.850257,12568766.414154,40569.905447,G3
4570991.998146,2788898.107029,837629.624356,4899903.088035,6769564.085009,364982.580332,12651403.709446,566119.144172,5976956.143899,5022387.796668,715262.225064,4411369.329884,2308490.255598,13751152.724737,85984.183626,15438131.978079,341324.264142,2672159.892521,1003428.098623,6021969.36247,13565597.033748,466.927993,42638114.588429,6570251.235473,1154182267.20253,50.804253,19454031.775844,8025797.62725,22034.570853,G2
3954804.34184,2880237.503332,500625.439434,4899903.088035,5447854.877351,433091.869918,10492092.000299,477709.455967,5955479.454475,9015413.178241,472364.699913,2459429.231359,1740691.598915,21267925.139825,50972.480592,13576236.960461,68657.437289,3560884.397081,3569121.491284,6095535.827984,29765313.850474,1238.510262,220314145.200137,4619151.485494,1799473333.69567,406.915873,15684263.440556,27569655.123902,48159.597815,G2
2624362.809939,3712308.042537,276690.613761,5870158.556256,6859581.185332,338693.387217,14875283.749476,766062.910691,5599717.334276,8109955.186545,537592.114209,3644058.322324,1973195.437215,8860175.426532,108298.489498,23962437.220041,71973.784956,3576697.80696,1772454.223097,5478132.61968,7107461.527615,475.254349,12858291.044728,6145416.298878,620023148.663173,17.87681,15626644.583179,4513505.37342,14044.828569,G3
