@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
8,0,24,0,1,1,0.25,1,0.75,0.4,1,1,0.01
8,0,23,1,0.958333,1,0.258065,1,0.741935,0.410256,0.96875,1.032258,0.02
8,0,20,4,0.833333,1,0.285714,1,0.714286,0.444444,0.875,1.142857,0.03
8,0,17,7,0.708333,1,0.32,1,0.68,0.484848,0.78125,1.28,0.04
8,0,14,10,0.583333,1,0.363636,1,0.636364,0.533333,0.6875,1.454545,0.06
8,0,12,12,0.5,1,0.4,1,0.6,0.571429,0.625,1.6,0.08
8,0,11,13,0.458333,1,0.421053,1,0.578947,0.592593,0.59375,1.684211,0.1
8,0,10,14,0.416667,1,0.444444,1,0.555556,0.615385,0.5625,1.777778,0.12
8,0,9,15,0.375,1,0.470588,1,0.529412,0.64,0.53125,1.882353,0.14
8,0,8,16,0.333333,1,0.5,1,0.5,0.666667,0.5,2,0.2
7,1,8,16,0.333333,0.875,0.466667,0.875,0.533333,0.608696,0.46875,1.866667,0.25
5,3,8,16,0.333333,0.625,0.384615,0.625,0.615385,0.47619,0.40625,1.538462,0.27
5,3,6,18,0.25,0.625,0.454545,0.625,0.545455,0.526316,0.34375,1.818182,0.29
4,4,6,18,0.25,0.5,0.4,0.5,0.6,0.444444,0.3125,1.6,0.3
3,5,6,18,0.25,0.375,0.333333,0.375,0.666667,0.352941,0.28125,1.333333,0.35
3,5,5,19,0.208333,0.375,0.375,0.375,0.625,0.375,0.25,1.5,0.36
3,5,4,20,0.166667,0.375,0.428571,0.375,0.571429,0.4,0.21875,1.714286,0.45
3,5,3,21,0.125,0.375,0.5,0.375,0.5,0.428571,0.1875,2,0.47
2,6,2,22,0.083333,0.25,0.5,0.25,0.5,0.333333,0.125,2,0.48
1,7,2,22,0.083333,0.125,0.333333,0.125,0.666667,0.181818,0.09375,?,0.66
1,7,1,23,0.041667,0.125,0.5,0.125,0.5,0.2,0.0625,?,0.67
1,7,0,24,0,0.125,1,0.125,0,0.222222,0.03125,?,0.72
0,8,0,24,0,0,0,0,0,0,0,?,0.72001
