@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,20,0,1,1,0.375,1,0.625,0.545455,1,1,0
12,0,18,2,0.9,1,0.4,1,0.6,0.571429,0.9375,1.066667,0.01
12,0,17,3,0.85,1,0.413793,1,0.586207,0.585366,0.90625,1.103448,0.02
12,0,15,5,0.75,1,0.444444,1,0.555556,0.615385,0.84375,1.185185,0.03
12,0,14,6,0.7,1,0.461538,1,0.538462,0.631579,0.8125,1.230769,0.04
12,0,12,8,0.6,1,0.5,1,0.5,0.666667,0.75,1.333333,0.05
12,0,11,9,0.55,1,0.521739,1,0.478261,0.685714,0.71875,1.391304,0.07
12,0,9,11,0.45,1,0.571429,1,0.428571,0.727273,0.65625,1.52381,0.08
12,0,8,12,0.4,1,0.6,1,0.4,0.75,0.625,1.6,0.13
11,1,7,13,0.35,0.916667,0.611111,0.916667,0.388889,0.733333,0.5625,1.62963,0.25
11,1,6,14,0.3,0.916667,0.647059,0.916667,0.352941,0.758621,0.53125,1.72549,0.3
11,1,5,15,0.25,0.916667,0.6875,0.916667,0.3125,0.785714,0.5,1.833333,0.33
11,1,4,16,0.2,0.916667,0.733333,0.916667,0.266667,0.814815,0.46875,1.955556,0.49
11,1,3,17,0.15,0.916667,0.785714,0.916667,0.214286,0.846154,0.4375,2.095238,0.52
10,2,3,17,0.15,0.833333,0.769231,0.833333,0.230769,0.8,0.40625,2.051282,0.54
10,2,2,18,0.1,0.833333,0.833333,0.833333,0.166667,0.833333,0.375,2.222222,0.57
9,3,2,18,0.1,0.75,0.818182,0.75,0.181818,0.782609,0.34375,2.181818,0.6
7,5,2,18,0.1,0.583333,0.777778,0.583333,0.222222,0.666667,0.28125,2.074074,0.65
5,7,2,18,0.1,0.416667,0.714286,0.416667,0.285714,0.526316,0.21875,1.904762,0.75
4,8,1,19,0.05,0.333333,0.8,0.333333,0.2,0.470588,0.15625,2.133333,0.81
3,9,0,20,0,0.25,1,0.25,0,0.4,0.09375,2.666667,0.82
2,10,0,20,0,0.166667,1,0.166667,0,0.285714,0.0625,?,0.85
1,11,0,20,0,0.083333,1,0.083333,0,0.153846,0.03125,?,0.9
0,12,0,20,0,0,0,0,0,0,0,?,0.90001
