@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
9,0,32,0,1,1,0.219512,1,0.780488,0.36,1,1,0
9,0,23,9,0.71875,1,0.28125,1,0.71875,0.439024,0.780488,1.28125,0.01
9,0,21,11,0.65625,1,0.3,1,0.7,0.461538,0.731707,1.366667,0.02
9,0,19,13,0.59375,1,0.321429,1,0.678571,0.486486,0.682927,1.464286,0.03
9,0,18,14,0.5625,1,0.333333,1,0.666667,0.5,0.658537,1.518519,0.04
9,0,16,16,0.5,1,0.36,1,0.64,0.529412,0.609756,1.64,0.06
9,0,14,18,0.4375,1,0.391304,1,0.608696,0.5625,0.560976,1.782609,0.1
9,0,13,19,0.40625,1,0.409091,1,0.590909,0.580645,0.536585,1.863636,0.12
9,0,12,20,0.375,1,0.428571,1,0.571429,0.6,0.512195,1.952381,0.16
9,0,10,22,0.3125,1,0.473684,1,0.526316,0.642857,0.463415,2.157895,0.17
9,0,8,24,0.25,1,0.529412,1,0.470588,0.692308,0.414634,2.411765,0.18
9,0,7,25,0.21875,1,0.5625,1,0.4375,0.72,0.390244,2.5625,0.2
8,1,5,27,0.15625,0.888889,0.615385,0.888889,0.384615,0.727273,0.317073,2.803419,0.29
8,1,4,28,0.125,0.888889,0.666667,0.888889,0.333333,0.761905,0.292683,3.037037,0.33
8,1,3,29,0.09375,0.888889,0.727273,0.888889,0.272727,0.8,0.268293,3.313131,0.39
7,2,2,30,0.0625,0.777778,0.777778,0.777778,0.222222,0.777778,0.219512,3.54321,0.46
5,4,2,30,0.0625,0.555556,0.714286,0.555556,0.285714,0.625,0.170732,3.253968,0.51
5,4,1,31,0.03125,0.555556,0.833333,0.555556,0.166667,0.666667,0.146341,3.796296,0.56
3,6,1,31,0.03125,0.333333,0.75,0.333333,0.25,0.461538,0.097561,?,0.79
2,7,0,32,0,0.222222,1,0.222222,0,0.363636,0.04878,?,0.82
1,8,0,32,0,0.111111,1,0.111111,0,0.2,0.02439,?,0.87
0,9,0,32,0,0,0,0,0,0,0,?,0.87001
