Number-Atts,Number-Significant,Atts,AUC
5,4,RBM22 SRSF3 RBM3 PTB SRSF6,1.0
6,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1,1.0
7,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150,1.0
8,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35,1.0
9,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11,1.0
10,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1,1.0
11,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH,1.0
12,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1,1.0
13,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B,1.0
14,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2,1.0
15,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9,1.0
16,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1,1.0
17,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1 CUGBP,1.0
18,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1 CUGBP RBM45,1.0
19,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1 CUGBP RBM45 PRP8,1.0
20,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1 CUGBP RBM45 PRP8 U4ATAC,1.0
21,4,RBM22 SRSF3 RBM3 PTB SRSF6 TIA1 CA150 SC35 FBP11 U2AF1 MAGOH RAVER1 TRA2B U2AF2 SRSF9 SND1 CUGBP RBM45 PRP8 U4ATAC U1,1.0
