Number-Atts,Number-Significant,Atts,AUC
20,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8,1.0
21,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A,1.0
22,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2,1.0
23,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2,1.0
24,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH,1.0
25,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH TIA1,1.0
26,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH TIA1 CELF4,1.0
27,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH TIA1 CELF4 CA150,1.0
28,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH TIA1 CELF4 CA150 SF3BTV1,1.0
29,2,U5 PSF U12 RAVER1 SRSF6 U2 SND1 U2AF1 RBM17 U6ATAC SRSF4 SRSF5 U1 RBM3 nSR100 PTB SRSF9 FBP11 SAM68TV1 PRP8 TRA2A U2AF2 SF3BTV2 MAGOH TIA1 CELF4 CA150 SF3BTV1 RBM45,1.0
