Number-Atts,Number-Significant,Atts,AUC
4,0,ESRP2 SKIP NOVA1 TIA1,0.8590909090909091
5,1,ESRP2 SKIP NOVA1 TIA1 PTB,0.8590909090909091
5,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
6,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
7,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A,0.85
8,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2,0.85
9,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5,0.85
10,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1,0.85
11,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC,0.85
12,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35,0.85
13,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35 U6,0.85
14,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35 U6 U11,0.85
15,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35 U6 U11 SF3BTV2,0.85
16,0,SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35 U6 U11 SF3BTV2 U12,0.85
6,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
7,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
8,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5,0.85
9,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1,0.85
10,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC,0.85
11,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35,0.85
12,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35 RAVER1,0.85
13,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35 RAVER1 U6,0.85
14,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35 RAVER1 U6 U11,0.85
15,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35 RAVER1 U6 U11 SF3BTV2,0.85
16,0,U2 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF SRSF5 U1 U4ATAC SC35 RAVER1 U6 U11 SF3BTV2 U12,0.85
5,0,U1 SKIP SF3BTV1 U6ATAC NOVA1,0.85
6,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
7,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
8,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP,0.85
9,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A,0.85
10,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2,0.85
11,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1,0.85
12,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1 U4ATAC,0.85
13,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1 U4ATAC U5,0.85
14,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1 U4ATAC U5 U6,0.85
15,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1 U4ATAC U5 U6 U11,0.85
16,0,U1 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF CUGBP TRA2A U2 SAM68TV1 U4ATAC U5 U6 U11 U12,0.85
6,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
7,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
8,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A,0.85
9,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2,0.85
10,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5,0.85
11,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35,0.85
12,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35 U5,0.85
13,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35 U5 U6,0.85
14,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35 U5 U6 U11,0.85
15,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35 U5 U6 U11 U12,0.85
16,0,U4ATAC SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 SC35 U5 U6 U11 U12 SRSF10,0.85
6,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
7,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
8,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A,0.85
9,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2,0.85
10,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5,0.85
11,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1,0.85
12,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC,0.85
13,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC U5,0.85
14,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC U5 RAVER1,0.85
15,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC U5 RAVER1 U11,0.85
16,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC U5 RAVER1 U11 SF3BTV2,0.85
17,0,U6 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC U5 RAVER1 U11 SF3BTV2 PRP8,0.85
6,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1,0.85
7,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF,0.85
8,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A,0.85
9,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2,0.85
10,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5,0.85
11,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1,0.85
12,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC,0.85
13,0,U11 SKIP SF3BTV1 U6ATAC NOVA1 TIA1 PSF TRA2A U2 SRSF5 U1 U4ATAC SC35,0.85
