support,itemsets
0.2608695652173913,frozenset({'SRSF10'})
0.20137299771167047,frozenset({'RBM22'})
0.19908466819221968,frozenset({'SC35'})
0.14874141876430205,frozenset({'RBM3'})
0.13729977116704806,"frozenset({'SC35', 'SRSF10'})"
0.11212814645308924,frozenset({'TRA2A'})
0.10526315789473684,frozenset({'FBP11'})
0.10526315789473684,frozenset({'MAGOH'})
0.09153318077803203,frozenset({'U6'})
0.07780320366132723,frozenset({'SRSF6'})
0.07322654462242563,frozenset({'U4ATAC'})
0.06636155606407322,frozenset({'U11'})
0.06407322654462243,frozenset({'U5'})
0.06178489702517163,"frozenset({'SRSF6', 'FBP11'})"
0.06178489702517163,frozenset({'CUGBP'})
0.057208237986270026,frozenset({'SRSF5'})
0.057208237986270026,frozenset({'SRM160'})
0.05263157894736842,frozenset({'SKIP'})
0.05263157894736842,"frozenset({'SC35', 'U5'})"
0.05034324942791762,frozenset({'TIA1'})
0.05034324942791762,frozenset({'PTBP1'})
0.04576659038901602,frozenset({'TRA2B'})
0.043478260869565216,"frozenset({'PTBP1', 'RBM22'})"
0.043478260869565216,"frozenset({'CUGBP', 'FBP11'})"
0.041189931350114416,frozenset({'U6ATAC'})
0.038901601830663615,"frozenset({'SRSF6', 'SRM160', 'FBP11'})"
0.038901601830663615,frozenset({'SRSF9'})
0.038901601830663615,frozenset({'SAM68TV1'})
0.038901601830663615,frozenset({'PSF'})
0.038901601830663615,"frozenset({'SRM160', 'FBP11'})"
0.038901601830663615,"frozenset({'SRM160', 'SRSF6'})"
0.034324942791762014,frozenset({'U2'})
0.034324942791762014,"frozenset({'SRSF5', 'U6'})"
0.034324942791762014,"frozenset({'TRA2A', 'TIA1'})"
0.034324942791762014,frozenset({'U2AF1'})
0.034324942791762014,frozenset({'SF3BTV2'})
0.032036613272311214,"frozenset({'TRA2B', 'TRA2A'})"
0.029748283752860413,"frozenset({'SRSF5', 'U4ATAC'})"
0.029748283752860413,"frozenset({'SRSF5', 'U4ATAC', 'U6'})"
0.029748283752860413,"frozenset({'U4ATAC', 'U6'})"
0.029748283752860413,frozenset({'U2AF2'})
0.029748283752860413,frozenset({'CELF4'})
0.029748283752860413,frozenset({'SRSF3'})
0.02745995423340961,frozenset({'SF3BTV1'})
0.02745995423340961,frozenset({'CA150'})
0.02745995423340961,frozenset({'U4'})
0.02745995423340961,frozenset({'PRP8'})
0.02745995423340961,frozenset({'nSR100'})
0.02745995423340961,frozenset({'SRSF4'})
0.02517162471395881,frozenset({'RBM17'})
0.02517162471395881,frozenset({'U1'})
0.02517162471395881,"frozenset({'TRA2A', 'FBP11'})"
0.02517162471395881,"frozenset({'TRA2A', 'CUGBP'})"
0.02288329519450801,frozenset({'SND1'})
0.02288329519450801,"frozenset({'TRA2A', 'SRSF6'})"
0.02288329519450801,"frozenset({'TRA2A', 'CUGBP', 'FBP11'})"
0.02288329519450801,"frozenset({'CUGBP', 'SRSF6'})"
0.02288329519450801,"frozenset({'SRSF6', 'CUGBP', 'FBP11'})"
0.02288329519450801,"frozenset({'TRA2A', 'CUGBP', 'SRSF6'})"
0.02288329519450801,"frozenset({'SRSF6', 'TRA2A', 'FBP11'})"
0.02288329519450801,"frozenset({'SRSF6', 'TRA2A', 'CUGBP', 'FBP11'})"
0.020594965675057208,"frozenset({'SRSF5', 'SRSF9', 'U6'})"
0.020594965675057208,frozenset({'ESRP2'})
0.020594965675057208,frozenset({'SRSF1'})
0.020594965675057208,"frozenset({'SRSF5', 'SRSF9'})"
0.020594965675057208,"frozenset({'SRSF9', 'U6'})"
0.020594965675057208,"frozenset({'U11', 'U6'})"
0.020594965675057208,frozenset({'U12'})
0.018306636155606407,frozenset({'RBM45'})
0.018306636155606407,frozenset({'ESRP1'})
0.018306636155606407,frozenset({'NOVA1'})
0.016018306636155607,"frozenset({'CUGBP', 'PSF'})"
0.016018306636155607,"frozenset({'CUGBP', 'PSF', 'FBP11', 'SKIP'})"
0.016018306636155607,"frozenset({'SRSF9', 'SRSF5', 'U4ATAC'})"
0.016018306636155607,"frozenset({'PSF', 'FBP11', 'SKIP'})"
0.016018306636155607,"frozenset({'SRSF9', 'U4ATAC', 'U6'})"
0.016018306636155607,"frozenset({'CUGBP', 'SKIP'})"
0.016018306636155607,"frozenset({'PSF', 'SKIP'})"
0.016018306636155607,"frozenset({'CUGBP', 'PSF', 'SKIP'})"
0.016018306636155607,"frozenset({'FBP11', 'PSF'})"
0.016018306636155607,"frozenset({'FBP11', 'SKIP'})"
0.016018306636155607,"frozenset({'SRSF9', 'U4ATAC'})"
0.016018306636155607,"frozenset({'CUGBP', 'FBP11', 'PSF'})"
0.016018306636155607,"frozenset({'SRSF9', 'SRSF5', 'U4ATAC', 'U6'})"
0.016018306636155607,"frozenset({'CUGBP', 'FBP11', 'SKIP'})"
0.013729977116704805,frozenset({'RAVER1'})
0.013729977116704805,"frozenset({'SAM68TV1', 'SRSF5', 'U4ATAC'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'U4ATAC', 'U6'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'SRSF5', 'U6'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'U4ATAC'})"
0.013729977116704805,"frozenset({'U4ATAC', 'U11'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'SRSF5'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'SRSF5', 'U4ATAC', 'U6'})"
0.013729977116704805,"frozenset({'SAM68TV1', 'U6'})"
